;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; B-6195 ;Airbus A319-112; C4Y126 ; 6 Aug 2009 ;; 12.6 Years ;;
; B-6200 ;Airbus A319-115; C4Y126 ; 26 Jul 2005 ;; 16.6 Years ;;
; B-6201 ;Airbus A319-115; C4Y126 ; 15 Aug 2005 ;; 16.6 Years ;;
; B-6202 ;Airbus A319-115; C4Y126 ; 25 Aug 2005 ;; 16.5 Years ;;
; B-6203 ;Airbus A319-115; C4Y126 ; 13 Sep 2005 ;; 16.5 Years ;;
; B-6208 ;Airbus A319-115; C4Y126 ; 15 Sep 2005 ;; 16.5 Years ;;
; B-6209 ;Airbus A319-115; C4Y126 ; 21 Sep 2005 ;; 16.5 Years ;;
; B-6408 ;Airbus A319-112; C4Y126 ; 21 Sep 2009 ;; 12.5 Years ;;
; B-6409 ;Airbus A319-112; C4Y126 ; 26 Oct 2009 ;; 12.4 Years ;;
; B-328A ;Airbus A319-153N;; 18 Feb 2022 ; Parked ; 0.6 Years ;;
; B-328C ;Airbus A319-153N;; 18 Feb 2022 ; Parked ; 0.1 Years ;;
; B-1651 ;Airbus A320-232; C8Y144 ; 7 May 2015 ;; 6.9 Years ;;
; B-1652 ;Airbus A320-232; C8Y144 ; 2 Jun 2015 ;; 6.8 Years ;;
; B-1653 ;Airbus A320-232; C8Y144 ; 16 Jun 2015 ;; 6.7 Years ;;
; B-1690 ;Airbus A320-232; C8Y144 ; 2 Jul 2015 ;; 6.7 Years ;;
; B-1696 ;Airbus A320-232; C8Y144 ; 28 Aug 2015 ;; 6.5 Years ;;
; B-1697 ;Airbus A320-232; C8Y144 ; 8 Aug 2015 ;; 6.6 Years ;;
; B-1800 ;Airbus A320-214; C8Y144 ; 19 Feb 2014 ;lsd ; 8.1 Years ;;
; B-1801 ;Airbus A320-232(WL); C8Y144 ; 28 Mar 2014 ;lsd ; 8 Years ;;
; B-1802 ;Airbus A320-232; C8Y144 ; 18 Feb 2014 ;lsd ; 8.1 Years ;;
; B-1803 ;Airbus A320-214; C8Y144 ; 27 Jan 2014 ;lsd ; 8.1 Years ;;
; B-1805 ;Airbus A320-232; C8Y144 ; 21 Jan 2014 ;; 8.1 Years ;;
; B-1828 ;Airbus A320-232(WL); C8Y144 ; 23 Apr 2014 ; Parked, lsd ; 7.9 Years ;;
; B-1829 ;Airbus A320-232(WL); C8Y144 ; 16 May 2014 ;lsd ; 7.8 Years ;;
; B-2406 ;Airbus A320-214; C4Y156 ; 27 Jan 2005 ;; 17.2 Years ;;
; B-2408 ;Airbus A320-214; C4Y156 ; 31 Jan 2005 ;; 17.1 Years ;;
; B-6251 ;Airbus A320-214; C4Y156 ; 13 Jul 2005 ; Parked ; 16.7 Years ;;
; B-6252 ;Airbus A320-214; C4Y156 ; 24 Aug 2005 ;; 16.6 Years ;;
; B-6253 ;Airbus A320-214; C4Y156 ; 8 Sep 2005 ;; 16.6 Years ;;
; B-6255 ;Airbus A320-214; C8Y144 ; 23 Dec 2005 ;; 16.2 Years ;;
; B-6263 ;Airbus A320-214; C8Y144 ; 8 Mar 2006 ;lsd ; 16 Years ;;
; B-6269 ;Airbus A320-214; C8Y144 ; 11 Apr 2006 ;lsd ; 15.9 Years ;;
; B-6272 ;Airbus A320-214; C8Y144 ; 10 May 2006 ;lsd ; 15.9 Years ;;
; B-6277 ;Airbus A320-232; C8Y144 ; 6 Mar 2006 ;lsd ; 16 Years ;;
; B-6279 ;Airbus A320-232; C8Y144 ; 15 May 2006 ;lsd ; 15.8 Years ;;
; B-6281 ;Airbus A320-214; C4Y156 ; 9 Jun 2006 ;; 15.8 Years ;;
; B-6282 ;Airbus A320-214; C4Y156 ; 5 Jul 2006 ;; 15.7 Years ;;
; B-6283 ;Airbus A320-214; C4Y156 ; 17 Jul 2006 ;; 15.7 Years ;;
; B-6287 ;Airbus A320-214; C8Y144 ; 28 Sep 2006 ;lsd ; 15.5 Years ;;
; B-6288 ;Airbus A320-214; C4Y156 ; 3 Aug 2006 ;; 15.6 Years ;;
; B-6289 ;Airbus A320-214; C4Y156 ; 28 Aug 2006 ;; 15.6 Years ;;
; B-6290 ;Airbus A320-214; C4Y156 ; 22 Sep 2006 ;; 15.5 Years ;;
; B-6291 ;Airbus A320-214; C4Y156 ; 23 Oct 2006 ;; 15.4 Years ;;
; B-6292 ;Airbus A320-214; C4Y156 ; 24 Nov 2006 ;; 15.3 Years ;;
; B-6293 ;Airbus A320-214; C4Y156 ; 19 Dec 2006 ;; 15.3 Years ;;
; B-6303 ;Airbus A320-214; C8Y144 ; 29 Nov 2006 ;lsd ; 15.3 Years ;;
; B-6575 ;Airbus A320-232; C4Y162 ; 2 Jun 2009 ;; 12.8 Years ;;
; B-6577 ;Airbus A320-232; C4Y162 ; 1 Jul 2009 ;; 12.7 Years ;;
; B-6582 ;Airbus A320-232; C4Y162 ; 14 Aug 2009 ;; 12.6 Years ;;
; B-6583 ;Airbus A320-232; C4Y156 ; 24 Aug 2009 ;; 12.6 Years ;;
; B-6588 ;Airbus A320-232; C4Y162 ; 10 Sep 2009 ;; 12.5 Years ;;
; B-6623 ;Airbus A320-214; C4Y156 ; 1 Mar 2010 ;; 12 Years ;;
