;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; EC-JAZ ;Airbus A319-111; C14Y108 ; 27 Aug 2004 ;lsd ; Las Médulas ; 17.7 Years ;;;
; EC-JDL ;Airbus A319-111; C14Y108 ; 17 Dec 2004 ;lsd ; Los Llanos de Aridane ; 17.2 Years ;;;
; EC-JEI ;Airbus A319-111; C14Y108 ; 15 Feb 2005 ;lsd ; Horacio Echevarrieta ; 17.3 Years ;;;
; EC-KHM ;Airbus A319-111; C14Y108 ; 27 Jul 2007 ;lsd, oneworld cs ; Buho Real ; 14.6 Years ;;;
; EC-IEF ;Airbus A320-214; CY180 ; 26 Apr 2002 ;lsd ; Castillo de Loarre ; 20.3 Years ;;;
; EC-IEG ;Airbus A320-214; CY180 ; 9 Apr 2002 ;lsd ; Costa Brava ; 20.2 Years ;;;
; EC-ILR ;Airbus A320-214; CY180 ; 10 Sep 2002 ; Parked, lsd ; San Juan de la Peña ; 19.7 Years ;;;
; EC-ILS ;Airbus A320-214; CY180 ; 16 Sep 2002 ;lsd ; Sierra de Cameros ; 19.6 Years ;;;
; EC-IZH ;Airbus A320-214; CY180 ; 25 Jun 2004 ;lsd ; San Pedro de Roda ; 17.8 Years ;;;
; EC-IZR ;Airbus A320-214; CY180 ; 22 Jul 2004 ;lsd ; Urkiola ; 17.7 Years ;;;
; EC-JFN ;Airbus A320-214; CY180 ; 4 Apr 2005 ;lsd ; Sierra de las Nieves ; 17 Years ;;;
; EC-KOH ;Airbus A320-214; CY180 ; 21 Nov 2016 ;lsd ; Fontibre ; 17.7 Years ;;;
; EC-LRG ;Airbus A320-214; CY180 ; 30 Oct 2016 ;; Cadaques ; 20.7 Years ;;;
; EC-LUL ;Airbus A320-216(WL); CY180 ; 21 Feb 2013 ;; Cangas de Onís ; 9.1 Years ;;;
; EC-LVD ;Airbus A320-216(WL); CY180 ; 8 Apr 2013 ;; Valle de Mena ; 8.9 Years ;;;
; EC-LXQ ;Airbus A320-216(WL); CY180 ; 17 Jul 2013 ;lsd ; Peñón de Ifach ; 8.7 Years ;;;
; EC-MCS ;Airbus A320-214(WL); CY180 ; 27 Aug 2014 ;lsd ; Playa De Los Lances ; 7.5 Years ;;;
; EC-MDK ;Airbus A320-214(WL); CY180 ; 29 Oct 2014 ;lsd ; P.N. Picos de Europa ; 7.4 Years ;;;
; EC-MXU ;Airbus A320-251N; CY186 ; 29 May 2018 ;lsd ; Patrulla Águila ; 3.8 Years ;;;
; EC-MXY ;Airbus A320-251N; CY186 ; 20 Jun 2018 ;lsd ; Getafe, Cuna de la Aviación Española ; 3.7 Years ;;;
; EC-NCM ;Airbus A320-251N; CY186 ; 4 Apr 2019 ;lsd ; Amelia Earhart ; 2.9 Years ;;;
; EC-NDN ;Airbus A320-251N; CY186 ; 31 May 2019 ; Parked ; Cuatro Vientos ; 2.8 Years ;;;
; EC-NER ;Airbus A320-251N; CY186 ; 26 Sep 2019 ;lsd ; Barajas ; 2.5 Years ;;;
; EC-NFZ ;Airbus A320-251N; CY186 ; 10 Sep 2019 ;oneworld cs ; Virgen de Loreto ; 2.5 Years ;;;
; EC-NJU ;Airbus A320-251N; CY186 ; 28 Aug 2020 ;; María Bernaldo de Quirós ; 1.6 Years ;;;
; EC-NJY ;Airbus A320-251N; CY186 ; 15 Sep 2020 ;; #GRACIASHÉROES ; 1.5 Years ;;;
; EC-NTA ;Airbus A320-251N; CY186 ; 28 Jan 2022 ;;; 0.1 Years ;;;
; EC-NTI ;Airbus A320-251N; CY186 ; 16 Feb 2022 ; Parked ; Juan de la Cierva ; 0.5 Years ;;;
; EC-NTO ;Airbus A320-251N; CY186 ; On Order ;;;;;;
; EC-NTP ;Airbus A320-251N; CY186 ; On Order ;;;;;;
; EC-NTQ ;Airbus A320-251N;; On Order ;;;;;;
; EC- ;Airbus A320-251N;; On Order ;;;;;;
; EC-HUH ;Airbus A321-212; CY217 ; 28 Apr 2001 ;; Benidorm ; 22.8 Years ;;;
; EC-HUI ;Airbus A321-212; CY217 ; 2 Jun 2001 ;; Comunidad Autónoma de La Rioja ; 22.7 Years ;;;
; EC-IGK ;Airbus A321-213; CY217 ; 31 Oct 2002 ;lsd ; Costa Calida ; 20.6 Years ;;;
; EC-IJN ;Airbus A321-212; CY217 ; 8 Nov 2002 ;lsd ; Mérida ; 19.4 Years ;;;
; EC-ILO ;Airbus A321-213; CY217 ; 28 May 2002 ;lsd ; Cueva de Nerja ; 20.1 Years ;;;
; EC-ILP ;Airbus A321-213; CY217 ; 28 May 2002 ;; Peñiscola ; 19.9 Years ;;;
; EC-IXD ;Airbus A321-212; CY217 ; 7 May 2004 ;lsd, Cantabria cs ; Valle de Arán ; 17.9 Years ;;;
; EC-JGS ;Airbus A321-213; CY217 ; 13 May 2005 ;lsd ; Guadalupe ; 16.9 Years ;;;
; EC-JQZ ;Airbus A321-212; CY217 ; 21 Apr 2006 ;lsd ; Generalife ; 15.9 Years ;;;
; EC-JRE ;Airbus A321-212; CY217 ; 17 May 2006 ;lsd ; Villa de Uncastillo ; 15.8 Years ;;;
; EC-JZM ;Airbus A321-212; CY217 ; 18 Jan 2007 ;lsd ; Águila Imperial Ibérica ; 15.1 Years ;;;
; EC-MJA ;Airbus A330-202; C19Y269 ; 18 Feb 2016 ;; Buenos Aires ; 6.1 Years ;;;
; EC-MJT ;Airbus A330-202; C19Y269 ; 22 Mar 2016 ;; La Habana ; 6 Years ;;;
; EC-MKI ;Airbus A330-202; C19Y269 ; 28 Apr 2016 ;"Stopover Hola Madrid" sticker ; Puerto Rico ; 5.9 Years ;;;
; EC-MKJ ;Airbus A330-202; C19Y269 ; 29 Jun 2016 ;; Montevideo ; 5.7 Years ;;;
; EC-MLB ;Airbus A330-202; C19Y269 ; 28 Jul 2016 ;lsd ; Iberoamérica ; 5.6 Years ;;;
; EC-MLP ;Airbus A330-202; C19Y269 ; 23 Aug 2016 ;; Lima ; 5.6 Years ;;;
; EC-MMG ;Airbus A330-202; C19Y269 ; 27 Oct 2016 ;; Santiago de Chile ; 5.5 Years ;;;
;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; EC-MNK ;Airbus A330-202; C19Y269 ; 18 Nov 2016 ;lsd ; Bogotá ; 5.4 Years ;;;
; EC-MNL ;Airbus A330-202; C19Y269 ; 15 Dec 2016 ;; Tokio ; 5.3 Years ;;;
; EC-MOU ;Airbus A330-202; W21Y293 ; 29 Mar 2017 ;opf LEVEL ;; 5 Years ;;;
; EC-MOY ;Airbus A330-202; W21Y293 ; 28 Apr 2017 ;opf LEVEL ;; 4.9 Years ;;;
; EC-MSY ;Airbus A330-202; C19Y269 ; 15 Dec 2017 ;lsd ; Santo Domingo ; 4.2 Years ;;;
; EC-MUD ;Airbus A330-202; C19Y269 ; 16 Mar 2018 ;lsd ; Johannesburgo ; 4.1 Years ;;;
; EC-MYA ;Airbus A330-202; W21Y293 ; 25 Jun 2018 ;opf LEVEL ;; 3.7 Years ;;;
; EC-NEN ;Airbus A330-202; W21Y293 ; 5 Jul 2019 ;opf LEVEL ;; 2.8 Years ;;;
; EC-NNH ;Airbus A330-202; W21Y293 ; 11 Jan 2021 ;lsd, opf LEVEL ;; 2.5 Years ;;;
; EC-NRG ;Airbus A330-202; W21Y293 ; 26 Jul 2021 ;lsd ;; 3.8 Years ;;;
; EC-NRH ;Airbus A330-202; W21Y293 ; 26 Jul 2021 ;lsd, opf LEVEL ;; 3.6 Years ;;;
; EC-LUB ;Airbus A330-302; C29W21Y242 ; 5 Feb 2013 ;lsd ; Tikal ; 9.1 Years ;;;
; EC-LUK ;Airbus A330-302; C29W21Y242 ; 19 Feb 2013 ;lsd ; Costa Rica ; 9.1 Years ;;;
; EC-LUX ;Airbus A330-302; C29W21Y242 ; 19 Apr 2013 ;lsd ; Panamá ; 8.9 Years ;;;
; EC-LXK ;Airbus A330-302; C29W21Y242 ; 27 Jun 2013 ;lsd ; El Salvador ; 8.7 Years ;;;
; EC-LYF ;Airbus A330-302; C29W21Y242 ; 13 Nov 2013 ;lsd ; Juan Carlos I ; 8.4 Years ;;;
; EC-LZJ ;Airbus A330-302; C29W21Y242 ; 24 Jan 2014 ;lsd ; Miami ; 8.2 Years ;;;
; EC-LZX ;Airbus A330-302; C29W21Y242 ; 17 Mar 2014 ;lsd ; Madrid ; 8 Years ;;;
; EC-MAA ;Airbus A330-302; C29W21Y242 ; 22 Apr 2014 ;lsd ; Rio de Janeiro ; 7.9 Years ;;;
; EC-MXV ;Airbus A350-941; C31W24Y293 ; 26 Jun 2018 ;; Plácido Domingo ; 3.8 Years ;;;
; EC-MYX ;Airbus A350-941; C31W24Y293 ; 27 Jul 2018 ;; Paco de Lucia ; 3.6 Years ;;;
; EC-NBE ;Airbus A350-941; C31W24Y293 ; 24 Jan 2019 ;; Museo del Prado ; 3.2 Years ;;;
; EC-NCX ;Airbus A350-941; C31W24Y293 ; 30 Apr 2019 ;; Selección Española de Fútbol ; 2.9 Years ;;;
; EC-NDR ;Airbus A350-941; C31W24Y293 ; 29 May 2019 ;; Juan Sebastian Elcano ; 2.8 Years ;;;
