;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; PR-YRA ;Airbus A320-251N; Y174 ; 19 Oct 2016 ;lsd ; Vida Azul ; 5.4 Years ;;
; PR-YRB ;Airbus A320-251N; Y174 ; 16 Nov 2016 ;lsd, Tripadvisor’s World’s Best Airline 2020 cs ; Futuro Azul ; 5.3 Years ;;
; PR-YRC ;Airbus A320-251N; Y174 ; 25 Nov 2016 ;lsd ; Totalmente Azul ; 5.3 Years ;;
; PR-YRD ;Airbus A320-251N; Y174 ; 10 Dec 2016 ;lsd ; 320 vezes Azul ; 5.3 Years ;;
; PR-YRE ;Airbus A320-251N; Y174 ; 22 Dec 2016 ;lsd ; 20 fazer mais Azul ; 5.2 Years ;;
; PR-YRF ;Airbus A320-251N; Y174 ; 18 Jan 2017 ;lsd ; Sou Azul 320% ; 5.1 Years ;;
; PR-YRH ;Airbus A320-251N; Y174 ; 4 Mar 2017 ;lsd ; NEO Azul ; 5 Years ;;
; PR-YRI ;Airbus A320-251N; Y174 ; 28 Mar 2017 ;lsd ; Tudo Azul Diamante ; 5 Years ;;
; PR-YRJ ;Airbus A320-253N; Y180 ; 7 Nov 2017 ;lsd ; InovAzul ; 4.4 Years ;;
; PR-YRK ;Airbus A320-253N; Y180 ; 23 Nov 2017 ;lsd ; Brilho Azul ; 4.3 Years ;;
; PR-YRL ;Airbus A320-253N; Y180 ; 14 Dec 2017 ;lsd ; Inspiração Azul ; 4.2 Years ;;
; PR-YRN ;Airbus A320-253N; Y180 ; 28 Dec 2017 ;lsd, "JEB's Program" sticker ; Desafio Azul ; 4.2 Years ;;
; PR-YRO ;Airbus A320-253N; Y180 ; 30 Jan 2018 ;lsd ; 20 também é Azul ; 4.1 Years ;;
; PR-YRQ ;Airbus A320-253N; Y180 ; 21 Feb 2018 ;lsd ; Azul é 10 ; 4.1 Years ;;
; PR-YRR ;Airbus A320-253N; Y180 ; 12 Jul 2018 ;lsd ; #TMJ Azul ; 3.7 Years ;;
; PR-YRS ;Airbus A320-253N; Y180 ; 28 Sep 2018 ;lsd, FEMAMA Pink Ribbon cs, "10 anos de Azul e Rosa voando juntos" sticker ; Vitoriosas da Azul ; 3.4 Years ;;
; PR-YRT ;Airbus A320-251N; Y174 ; 26 Jun 2018 ;lsd ; O fantástico mundo Azul ; 3.7 Years ;;
; PR-YRU ;Airbus A320-251N; Y180 ; 14 Aug 2018 ;lsd ; Alegria Azul ; 3.6 Years ;;
; PR-YRV ;Airbus A320-253N; Y180 ; 26 Dec 2018 ;lsd ; Azul 10Bravando o Mundo ; 3.2 Years ;;
; PR-YRW ;Airbus A320-253N; Y180 ; 22 Dec 2018 ;lsd ; Fenômeno Azul ; 3.2 Years ;;
; PR-YRX ;Airbus A320-251N; Y180 ; 17 Jan 2019 ;lsd, "Alagoas te espera" sticker ; Blue Wings ; 3.2 Years ;;
; PR-YRY ;Airbus A320-251N; Y180 ; 24 Jan 2019 ;lsd ; Azul Avante! ; 3.1 Years ;;
; PR-YRZ ;Airbus A320-251N; Y174 ; 22 Mar 2019 ;lsd ; Sempre Azul ; 3 Years ;;
; PR-YSA ;Airbus A320-251N; Y174 ; 31 Dec 2019 ;lsd ; NEO da cor do céu ; 2.2 Years ;;
; PR-YSB ;Airbus A320-251N; Y174 ; 13 Dec 2019 ;lsd ; Sorria, você está na Azul ; 2.3 Years ;;
; PR-YSC ;Airbus A320-251N; Y174 ; 28 Nov 2019 ;lsd, Viva Intensamente O Brasil cs ; Cliente Azul ; 2.3 Years ;;
; PR-YSD ;Airbus A320-251N; Y174 ; 20 Dec 2019 ;lsd ; Azul, do Brasil para o Mundo ; 2.2 Years ;;
; PR-YSE ;Airbus A320-251N; Y174 ; 28 Dec 2019 ;lsd, Viva Intensamente O Brasil cs ; Paraíso Azul ; 2.2 Years ;;
; PR-YSF ;Airbus A320-251N; Y174 ; 20 Dec 2019 ;lsd, "Azul Itaucard Visa Infinite" sticker ; Azul Infinite ; 2.2 Years ;;
; PR-YSG ;Airbus A320-251N; Y174 ; 28 Aug 2020 ;lsd ; Azul, minha vida ; 1.7 Years ;;
; PR-YSH ;Airbus A320-251N; Y174 ; 16 Sep 2021 ;lsd, Mickey Mouse - Walt Disney World cs ; Mickey Mouse nas nuvens ; 0.5 Years ;;
; PR-YSI ;Airbus A320-251N;; On Order ;;;;;
; PR-YYA ;Airbus A320-251N; Y162 ; 10 Jan 2019 ;lsd ; Azul é Sempre Mais ; 4 Years ;;
; PR-YYB ;Airbus A320-251N; Y162 ; 10 Jan 2019 ;lsd ; Nada Melhor Que Ser Azul ; 4.1 Years ;;
; PR-YYC ;Airbus A320-251N; Y165 ; Apr 2019 ;lsd ; De Leste a Oeste, Azul ; 4.1 Years ;;
; PR-YYD ;Airbus A320-251N; Y165 ; 16 Jun 2019 ;lsd ; Nas Nuvens ; 4.3 Years ;;
; PR-YYE ;Airbus A320-251N; Y165 ; 26 May 2019 ;lsd ; Conexão Azul ; 4.5 Years ;;
; PR-YYF ;Airbus A320-251N; Y165 ; 16 Jul 2019 ;lsd ; Do Brasil para o mundo ; 4.1 Years ;;
; PR-YYG ;Airbus A320-251N; Y165 ; Dec 2019 ;lsd ; Sonho de voar ; 4.4 Years ;;
; PR-YYH ;Airbus A320-251N; Y165 ; Sep 2019 ;lsd ; Voando Cada vez mais alto ; 4.5 Years ;;
; PR-YYI ;Airbus A320-251N; Y165 ; 21 Oct 2019 ;lsd ; BlueCap ; 5 Years ;;
; PR-YYJ ;Airbus A320-251N; Y165 ; 27 Feb 2020 ;lsd ; Universo Azul ; 5 Years ;;
; PR-YYK ;Airbus A320-251N; Y165 ; 18 Dec 2020 ;lsd ; União Azul ; 5.3 Years ;;
; PR-YYL ;Airbus A320-251N; Y165 ; 27 Aug 2019 ;lsd ; Asas para Voar ; 5.5 Years ;;
; PR-YJA ;Airbus A321-251NX; Y214 ; 7 Nov 2019 ; Parked, lsd ; Super Azul ; 2.3 Years ;;
; PR-YJB ;Airbus A321-251NX; Y214 ; 25 Feb 2020 ;lsd ; Felicidade Azul ; 2 Years ;;
