;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; B-1120 ;Boeing 737-8 MAX; C8Y168 ; 28 Aug 2018 ; Parked YNT, lsd ; 3.5 Years ;;
; B-1271 ;Boeing 737-8 MAX; C8Y168 ; 27 Jun 2018 ; Parked TAO, lsd ; 3.7 Years ;;
; B-1275 ;Boeing 737-8 MAX; C8Y168 ; 1 Jun 2018 ; Parked TNA, lsd, Guomei Liquor Group cs ; 3.8 Years ;;
; B-205C ;Boeing 737-8 MAX; C8Y168 ; 22 Dec 2018 ; Parked YNT, lsd, "China Quality Award" sticker ; 3.2 Years ;;
; B-207F ;Boeing 737-8 MAX; C8Y168 ; 13 Dec 2018 ; Parked TNA, "China Quality Award" sticker ; 3.3 Years ;;
; B-208G ;Boeing 737-8 MAX; C8Y168 ; 28 Jan 2019 ; Parked TNA, lsd ; 3.1 Years ;;
; B-208N ;Boeing 737-8 MAX; C8Y168 ; 2 Mar 2019 ; Parked YNT, lsd ; 3 Years ;;
; B-20A0 ;Boeing 737-8 MAX; C8Y168 ; On Order ;; 2.8 Years ;;
; B-20AG ;Boeing 737-8 MAX; C8Y168 ; On Order ;; 2.8 Years ;;
; B-20AR ;Boeing 737-8 MAX; C8Y168 ; On Order ;; 2.6 Years ;;
; B-20AX ;Boeing 737-8 MAX; C8Y168 ; On Order ;; 2.6 Years ;;
; B-20C3 ;Boeing 737-8 MAX; C8Y168 ; On Order ;; 2.5 Years ;;
; B-20CF ;Boeing 737-8 MAX; C8Y168 ; On Order ;; 2.5 Years ;;
; B-20CZ ;Boeing 737-8 MAX; C8Y168 ; On Order ;; 2.4 Years ;;
; B-20D0 ;Boeing 737-8 MAX; C8Y168 ; On Order ;; 2.4 Years ;;
; B-20E2 ;Boeing 737-8 MAX; C8Y168 ; On Order ;; 2.1 Years ;;
; B- ;Boeing 737-8 MAX;; On Order ;;;;
; B- ;Boeing 737-8 MAX;; On Order ;;;;
; B-5205 ;Boeing 737-75N(WL); Y135 ; 24 Oct 2005 ;; 16.5 Years ;;
; B-5206 ;Boeing 737-75N(WL); Y135 ; 19 Jul 2005 ;; 16.7 Years ;;
; B-5207 ;Boeing 737-75N(WL); Y135 ; 21 Dec 2005 ;; 16.2 Years ;;
; B-1226 ;Boeing 737-85N(WL); C8Y168 ; 16 Apr 2018 ;lsd ; 3.9 Years ;;
; B-1227 ;Boeing 737-85N(WL); C8Y168 ; 23 Apr 2018 ;lsd ; 3.9 Years ;;
; B-1230 ;Boeing 737-85N(WL); C8Y168 ; 30 Mar 2018 ;lsd ; 3.9 Years ;;
; B-1272 ;Boeing 737-85N(WL); C8Y168 ; 29 Jun 2018 ;lsd ; 3.7 Years ;;
; B-1273 ;Boeing 737-85N(WL); C8Y168 ; 21 May 2018 ;lsd ; 3.8 Years ;;
; B-1358 ;Boeing 737-85N(WL); C8Y168 ; 23 Jan 2018 ;lsd ; 4.1 Years ;;
; B-1359 ;Boeing 737-85N(WL); C8Y168 ; 2 Feb 2018 ;lsd ; 4.1 Years ;;
; B-1360 ;Boeing 737-85N(WL); C8Y168 ; 8 Mar 2018 ;lsd ; 4 Years ;;
; B-1436 ;Boeing 737-85N(WL); C8Y168 ; 8 May 2017 ;lsd ; 4.8 Years ;;
; B-1437 ;Boeing 737-85N(WL); C8Y168 ; 29 Jun 2017 ;lsd ; 4.7 Years ;;
; B-1438 ;Boeing 737-85N(WL); C8Y168 ; 6 Jun 2017 ;lsd ; 4.8 Years ;;
; B-1439 ;Boeing 737-85N(WL); C8Y168 ; 14 Jul 2017 ;lsd ; 4.7 Years ;;
; B-1440 ;Boeing 737-85N(WL); C8Y168 ; 24 Jul 2017 ;lsd ; 4.6 Years ;;
; B-1441 ;Boeing 737-85N(WL); C8Y168 ; 10 Aug 2017 ;lsd ; 4.6 Years ;;
; B-1442 ;Boeing 737-85N(WL); C8Y168 ; 21 Aug 2017 ;lsd ; 4.6 Years ;;
; B-1443 ;Boeing 737-85N(WL); C8Y168 ; 25 Sep 2017 ;lsd ; 4.4 Years ;;
; B-1506 ;Boeing 737-85N(WL); C8Y168 ; 27 Apr 2015 ; Parked, lsd ; 6.9 Years ;;
; B-1508 ;Boeing 737-85N(WL); C8Y168 ; 14 May 2015 ;lsd ; 6.8 Years ;;
; B-1509 ;Boeing 737-85N(WL); C8Y168 ; 25 Jun 2015 ;lsd ; 6.7 Years ;;
; B-1510 ;Boeing 737-85N(WL); C8Y168 ; 22 Jul 2015 ;lsd ; 6.6 Years ;;
; B-1511 ;Boeing 737-85N(WL); C8Y168 ; 27 Jul 2015 ;lsd ; 6.6 Years ;;
; B-1730 ;Boeing 737-89L(WL); C8Y168 ; 16 Dec 2014 ;lsd ; 7.2 Years ;;
; B-1731 ;Boeing 737-85N(WL); C8Y168 ; 23 Oct 2014 ;lsd ; 7.4 Years ;;
; B-1743 ;Boeing 737-85N(WL); C8Y168 ; 29 Jan 2015 ;lsd ; 7.1 Years ;;
; B-1745 ;Boeing 737-85N(WL); C8Y168 ; 20 Jan 2015 ;lsd, Lunan Pharmaceutical Health World cs ; 7.1 Years ;;
; B-1746 ;Boeing 737-85N(WL); C8Y168 ; 5 Feb 2015 ;lsd ; 7.1 Years ;;
; B-1931 ;Boeing 737-85N(WL); C8Y160 ; 16 Feb 2014 ;lsd, DEEJ cs ; 8.1 Years ;;
; B-1932 ;Boeing 737-85N(WL); C8Y160 ; 12 Mar 2014 ;lsd, DEEJ cs ; 8 Years ;;
; B-1982 ;Boeing 737-85N(WL); C8Y168 ; 21 Jul 2014 ;lsd, DEEJ cs ; 7.6 Years ;;
