;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; VP-BBU ;Airbus A319-112; C8Y120 ; 14 Apr 2016 ; Parked, lsd ; Pskov / Псков ; 20.3 Years ;;;
; VP-BIQ ;Airbus A319-111; C8Y120 ; 30 Aug 2008 ;lsd ; Ivanovo / Иваново ; 19.2 Years ;;;
; VP-BIT ;Airbus A319-111; C8Y120 ; 29 Jul 2008 ;lsd ; Ulan-Ude / Улан-Удэ ; 19.8 Years ;;;
; VP-BIU ;Airbus A319-114; C8Y120 ; 5 Aug 2008 ;lsd ; Lipetsk / Липецк ; 25.1 Years ;;;
; VP-BIV ;Airbus A319-115; C8Y120 ; 21 Apr 2016 ;lsd ; Omsk / Омск ; 15 Years ;;;
; VP-BNJ ;Airbus A319-111; C8Y120 ; 5 May 2016 ;lsd ; Samara / Самара ; 17.8 Years ;;;
; VP-BQK ;Airbus A319-111; C8Y120 ; 21 Apr 2016 ;lsd ; Voronezh / Воронеж ; 14.7 Years ;;;
; VP-BWG ;Airbus A319-111; C8Y120 ; 9 Mar 2016 ; Parked, lsd ; Murmansk / Мурманск ; 18.3 Years ;;;
; VP-BWJ ;Airbus A319-111; C8Y120 ; 9 Mar 2016 ; Parked, lsd ; Saratov / Саратов ; 18.1 Years ;;;
; VQ-BAQ ;Airbus A319-111; C8Y120 ; 17 Feb 2009 ;lsd ; Tula / Тула ; 20.6 Years ;;;
; VQ-BAR ;Airbus A319-111; C8Y120 ; 12 Feb 2009 ;lsd ; Vladimir / Владимир ; 20.9 Years ;;;
; VQ-BAS ;Airbus A319-111; C8Y120 ; 26 May 2009 ; Parked, lsd, FC Zenit St. Petersburg cs ;; 19.5 Years ;;;
; VQ-BAT ;Airbus A319-111; C8Y120 ; 5 May 2009 ;lsd ; Novokuznetsk / Новокузнецк ; 19.3 Years ;;;
; VQ-BAU ;Airbus A319-111; C8Y120 ; 10 Apr 2009 ;lsd ; Stavropol / Ставрополь ; 19.3 Years ;;;
; VQ-BAV ;Airbus A319-111; C8Y120 ; 9 Jul 2009 ;lsd ; Novorossiysk / Новороссийск ; 19.8 Years ;;;
; VQ-BBA ;Airbus A319-111; C8Y120 ; 9 May 2016 ;lsd ; Smolensk / Смоленск ; 13.1 Years ;;;
; VQ-BCO ;Airbus A319-111; C8Y120 ; 4 Apr 2016 ;lsd ; Volgograd / Волгоград ; 12.7 Years ;;;
; VQ-BCP ;Airbus A319-111; C8Y120 ; 8 Apr 2016 ;lsd, Russian Sports (Спортолёт / Sportolet) cs ; Rostov-on-Don / Ростов-на-Дону ; 12.6 Years ;;;
; VQ-BOX ;Airbus A319-111; C8Y120 ; 23 Apr 2019 ;lsd ; Izhevsk / Ижевск ; 16.8 Years ;;;
; VP-BWH ;Airbus A320-214; C12Y156 ; 4 Jun 2014 ;lsd ; Mineralnye Vody / Минеральные Воды ; 18.2 Years ;;;
; VP-BWI ;Airbus A320-214; C12Y156 ; 20 Aug 2014 ;lsd ; Arkhangelsk / Архангельск ; 18.1 Years ;;;
; VP-BZQ ;Airbus A320-214; C12Y156 ; 25 Feb 2019 ; Parked, lsd ; Chelyabinsk / Челябинск ; 13.4 Years ;;;
; VP-BZR ;Airbus A320-214; C12Y156 ; 7 Jun 2018 ;lsd ; Vologda / Вологда ; 13.5 Years ;;;
; VQ-BRV ;Airbus A320-214(WL);; 19 Jul 2021 ;lsd ; Пермь / Perm ; 8.1 Years ;;;
; VQ-BSE ;Airbus A320-214(WL);; 21 Sep 2021 ;lsd ; Krasnodar / Краснодар ; 8 Years ;;;
; VQ-BSG ;Airbus A320-214(WL);; 4 Oct 2021 ; Parked, lsd ; Grozny / Грозный ; 8 Years ;;;
; VQ-BSH ;Airbus A320-214(WL);; 2 Aug 2021 ;lsd ; Belgorod / Белгород ; 8 Years ;;;
; VP-BOA ;Boeing 737-8LJ(WL); Y189 ; 30 May 2017 ; Parked, lsd ; Pyatigorsk / Пятигорск ; 4.8 Years ;;;
; VP-BOB ;Boeing 737-8LJ(WL); Y189 ; 22 Jun 2017 ;lsd ; Bryansk / Брянск ; 4.7 Years ;;;
; VP-BOI ;Boeing 737-8LJ(WL); Y189 ; 8 Jun 2018 ; Parked, lsd ; Astrakhan / Астрахань ; 3.8 Years ;;;
; VP-BUS ;Boeing 737-8MC(WL); C12Y156 ; 31 May 2021 ;lsd ;; 6.9 Years ;;;
; VQ-BPX ;Boeing 737-8Q8(WL); Y189 ; 21 Mar 2016 ; Parked, lsd ; Makhachkala / Махачкала ; 13.8 Years ;;;
; VQ-BSR ;Boeing 737-8AS(WL); Y189 ; 21 Mar 2016 ;lsd ; Tyumen / Тюмень ; 15.3 Years ;;;
; VQ-BSS ;Boeing 737-8AS(WL); Y189 ; 28 Mar 2016 ;lsd ; Barnaul / Барнаул ; 15.3 Years ;;;
; VQ-BUE ;Boeing 737-8GJ(WL); Y189 ; 21 Mar 2016 ;lsd ; Penza / Пенза ; 15.1 Years ;;;
; VQ-BUF ;Boeing 737-8GJ(WL); Y189 ; 21 Mar 2016 ;lsd ; Ryazan / Рязань ; 15.4 Years ;;;
; VQ-BVU ;Boeing 737-8LJ(WL); C12Y156 ; 19 May 2016 ; Parked, lsd ; Krasnodar / Краснодар ; 7.2 Years ;;;
; VQ-BVV ;Boeing 737-8LJ(WL); C12Y156 ; 11 May 2016 ;lsd ; Kemerovo / Кемерово ; 7.4 Years ;;;
; VQ-BWJ ;Boeing 737-8LJ(WL); Y189 ; 31 Mar 2016 ;lsd ; Kaliningrad / Калининград ; 6.5 Years ;;;
; EI-XLC ;Boeing 747-446; C12Y510 ; 20 Jan 2017 ; Parked, lsd ; Krasnoyarsk / Красноярск ; 22.2 Years ;;;
; EI-XLD ;Boeing 747-446; C12Y510 ; 6 Sep 2016 ; Parked, lsd, Caring for Tigers together cs ; Yuzhno-Sakhalinsk / Южно-Сахалинск ; 23.6 Years ;;;
; EI-XLE ;Boeing 747-446; C12Y510 ; 1 Apr 2016 ;lsd ; Saint-Petersburg / Санкт-Петербург ; 23 Years ;;;
; EI-XLF ;Boeing 747-446; C12Y510 ; 8 Jun 2016 ;lsd ; Nizhny Novgorod / Ни́жний Но́вгород ; 21.2 Years ;;;
