;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;
; C-GROV ;Airbus A220-300; C12Y125 ; 20 Dec 2019 ;Calin Rovinescu ; 101 ; 2.2 Years ;;
; C-GJXE ;Airbus A220-300; C12Y125 ; 7 Feb 2020 ;; 102 ; 2.1 Years ;;
; C-GJXN ;Airbus A220-300; C12Y125 ; 20 Feb 2020 ; Parked ; 103 ; 2 Years ;;
; C-GJXV ;Airbus A220-300; C12Y125 ; 2 Mar 2020 ;; 104 ; 2 Years ;;
; C-GJXW ;Airbus A220-300; C12Y125 ; 15 May 2020 ;; 105 ; 1.8 Years ;;
; C-GJXY ;Airbus A220-300; C12Y125 ; 22 May 2020 ;; 106 ; 1.8 Years ;;
; C-GJYA ;Airbus A220-300; C12Y125 ; 26 Jun 2020 ;; 107 ; 1.7 Years ;;
; C-GJYC ;Airbus A220-300; C12Y125 ; 23 Jul 2020 ;; 108 ; 1.6 Years ;;
; C-GJYE ;Airbus A220-300; C12Y125 ; 15 Sep 2020 ;; 109 ; 1.5 Years ;;
; C-GJYI ;Airbus A220-300; C12Y125 ; 30 Sep 2020 ;; 110 ; 1.5 Years ;;
; C-GMYU ;Airbus A220-300; C12Y125 ; 30 Oct 2020 ;; 111 ; 1.4 Years ;;
; C-GMZN ;Airbus A220-300; C12Y125 ; 17 Nov 2020 ;; 112 ; 1.3 Years ;;
; C-GMZR ;Airbus A220-300; C12Y125 ; 20 Nov 2020 ;; 113 ; 1.3 Years ;;
; C-GMZY ;Airbus A220-300; C12Y125 ; 4 Dec 2020 ;; 114 ; 1.3 Years ;;
; C-GNGV ;Airbus A220-300; C12Y125 ; 16 Dec 2020 ;; 115 ; 1.2 Years ;;
; C-GNAM ;Airbus A220-300; C12Y125 ; 29 Jan 2021 ;; 116 ; 1.1 Years ;;
; C-GTZH ;Airbus A220-300; C12Y125 ; 19 Feb 2021 ;; 117 ; 1.1 Years ;;
; C-GNBE ;Airbus A220-300; C12Y125 ; 25 Mar 2021 ;; 118 ; 1 Years ;;
; C-GNBN ;Airbus A220-300; C12Y125 ; 26 Mar 2021 ;Trans-Canada Air Lines (TCA) cs ; 119 ; 1 Years ;;
; C-GTZS ;Airbus A220-300; C12Y125 ; 20 May 2021 ;; 120 ; 0.8 Years ;;
; C-GTZU ;Airbus A220-300; C12Y125 ; 28 May 2021 ;; 121 ; 0.8 Years ;;
; C-GUAC ;Airbus A220-300; C12Y125 ; 4 Jun 2021 ;; 122 ; 0.8 Years ;;
; C-GUPG ;Airbus A220-300; C12Y125 ; 18 Jun 2021 ;; 123 ; 0.8 Years ;;
; C-GUPK ;Airbus A220-300; C12Y125 ; 30 Jun 2021 ;; 124 ; 0.7 Years ;;
; C-GUPL ;Airbus A220-300; C12Y125 ; 5 Nov 2021 ;; 125 ; 0.4 Years ;;
; C-GVDP ;Airbus A220-300; C12Y125 ; 29 Nov 2021 ;Turning Red cs ; 126 ; 0.3 Years ;;
; C-GVDQ ;Airbus A220-300; C12Y125 ; 20 Dec 2021 ;; 127 ; 0.2 Years ;;
; C-GVUH ;Airbus A220-300; C12Y125 ; On Order ;; 128 ;;;
; C-FKPT ;Airbus A320-211; C14Y132 ; 19 Jun 1992 ;lsd ; 225 ; 29.9 Years ;;
; C-FKOJ ;Airbus A320-211; C14Y132 ; 10 Jul 1992 ;lsd ; 226 ; 29.8 Years ;;
; C-FMSX ;Airbus A320-211; C14Y132 ; 1 Feb 1993 ;; 232 ; 29.4 Years ;;
; C-GJVT ;Airbus A320-214; C14Y132 ; 13 Mar 2002 ;lsd ; 235 ; 20.1 Years ;;
; C-GKOD ;Airbus A320-214; C14Y132 ; 14 Oct 2002 ;lsd ; 236 ; 19.5 Years ;;
; C-GKOE ;Airbus A320-214; C14Y132 ; 5 Nov 2002 ;lsd ; 237 ; 19.4 Years ;;
; C-FZUB ;Airbus A320-214; C14Y132 ; 6 Mar 2003 ;lsd ; 238 ; 19.1 Years ;;
; C-FXCD ;Airbus A320-214; C14Y132 ; 25 Jun 2003 ;lsd ; 239 ; 18.8 Years ;;
; C-FZQS ;Airbus A320-214; C14Y132 ; 11 Dec 2003 ;lsd ; 240 ; 18.3 Years ;;
; C-FGJI ;Airbus A320-214; C14Y132 ; 20 Jan 2015 ;lsd ; 241 ; 19.9 Years ;;
; C-FGKH ;Airbus A320-214; C14Y132 ; 2 Feb 2015 ;lsd ; 242 ; 19 Years ;;
; C-GPWG ;Airbus A320-211; C14Y132 ; Jun 2012 ; Parked YRQ, lsd ; 401 ; 31.1 Years ;;
; C-FDCA ;Airbus A320-211; C14Y132 ; Jun 2012 ; Parked MCI, lsd ; 405 ; 30.6 Years ;;
; C-FLSS ;Airbus A320-211; C14Y132 ; 4 Apr 2001 ; Parked MCI, lsd ; 408 ; 30.2 Years ;;
; C-FLSU ;Airbus A320-211; C14Y132 ; 30 Sep 2003 ; Parked MCI, lsd ; 411 ; 30 Years ;;
