;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; HB-JBI ;Airbus A220-100; CY125 ; 1 Jul 2019 ;;; 2.7 Years ;;
; HB-JCP ;Airbus A220-300; CY145 ; 20 Aug 2018 ;;; 3.6 Years ;;
; HB-JCQ ;Airbus A220-300; CY145 ; 25 Sep 2018 ;;; 3.5 Years ;;
; HB-JCR ;Airbus A220-300; CY145 ; 14 Nov 2018 ;;; 3.4 Years ;;
; HB-JCS ;Airbus A220-300; CY145 ; 7 Dec 2018 ;;; 3.3 Years ;;
; HB-JCT ;Airbus A220-300; CY145 ; 10 Jan 2019 ;;; 3.2 Years ;;
; HB-JCU ;Airbus A220-300; CY145 ; 21 May 2021 ;; Davos ; 0.9 Years ;;
; HB-IJI ;Airbus A320-214; CY180 ; 31 Mar 2002 ;; Saint-Prex ; 26.1 Years ;;
; HB-IJJ ;Airbus A320-214; CY180 ; 31 Mar 2002 ; Parked ; Wallisellen ; 25.9 Years ;;
; HB-IJK ;Airbus A320-214; CY180 ; 31 Mar 2002 ;; Murten ; 25.8 Years ;;
; HB-IJL ;Airbus A320-214; CY180 ; 31 Mar 2002 ; Parked AMM ; Nyon ; 25.7 Years ;;
; HB-IJM ;Airbus A320-214; CY180 ; 31 Mar 2002 ; Parked AMM, Star Alliance cs ; Richterswil ; 25.4 Years ;;
; HB-IJP ;Airbus A320-214; CY180 ; 31 Mar 2002 ;; Gstaad ; 24.9 Years ;;
; HB-IJQ ;Airbus A320-214; CY180 ; 31 Mar 2002 ; Parked AMM ; Locarno ; 24.8 Years ;;
; HB-IJR ;Airbus A320-214; CY180 ; 31 Mar 2002 ; Parked AMM ; Avenches ; 24.8 Years ;;
; HB-JLP ;Airbus A320-214; CY180 ; 18 Mar 2011 ;; Allschwil ; 11 Years ;;
; HB-JLQ ;Airbus A320-214; CY180 ; 20 Apr 2011 ; Parked, lsd ; Bülach ; 10.9 Years ;;
; HB-JLR ;Airbus A320-214; CY180 ; 29 Feb 2012 ;; Bassersdorf ; 10 Years ;;
; HB-JLS ;Airbus A320-214; CY180 ; 23 Mar 2012 ;; Interlaken ; 10 Years ;;
; HB-JLT ;Airbus A320-214(WL); CY180 ; 20 Mar 2013 ;; Grenchen ; 9 Years ;;
; HB-JDA ;Airbus A320-271N; CY180 ; 14 Feb 2020 ;; Engelberg ; 2.1 Years ;;
; HB-JDB ;Airbus A320-271N; CY180 ; 1 Jul 2020 ;; Riederalp ; 1.9 Years ;;
; HB-JDC ;Airbus A320-271N; CY180 ; 31 Dec 2020 ;; Pontresina ; 1.3 Years ;;
; HB-JDD ;Airbus A320-271N; CY180 ; 28 Dec 2021 ;; Elm ; 0.3 Years ;;
; HB-JDE ;Airbus A320-271N; CY180 ; 5 Jan 2022 ;; Mürren ; 0.2 Years ;;
