;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;;
; VH-VBY ;Boeing 737-7FE(WL); C8Y120 ; 4 May 2011 ;; Kingston Beach ; 16.6 Years ;;;
; VH-VBZ ;Boeing 737-7FE(WL); C8Y120 ; 4 May 2011 ;; Cronulla Beach ; 16.5 Years ;;;
; VH-IJQ ;Boeing 737-8SA(WL); C8Y162 ; 15 Oct 2021 ;lsd ;; 7.5 Years ;;;
; VH-IJU ;Boeing 737-8SA(WL); C8Y162 ; 12 Nov 2021 ;lsd ;; 7.4 Years ;;;
; VH-IJW ;Boeing 737-8SA(WL); C8Y162 ; 14 Dec 2021 ;lsd ;; 7.3 Years ;;;
; VH-IWQ ;Boeing 737-8SA(WL); C8Y162 ; 24 Sep 2021 ;lsd ;; 7.1 Years ;;;
; VH-IWX ;Boeing 737-8SA(WL); C8Y162 ; 24 Nov 2021 ;lsd ;; 5.8 Years ;;;
; VH-IWY ;Boeing 737-8SA(WL); C8Y162 ; 5 Jan 2022 ;lsd ;; 5.4 Years ;;;
; VH-IXJ ;Boeing 737-8SA(WL); C8Y162 ; Due ; Stored, lsd ;; 6.9 Years ;;;
; VH-VOK ;Boeing 737-8FE(WL); C8Y168 ; 4 May 2011 ;; Johanna Beach ; 18.6 Years ;;;
; VH-VOL ;Boeing 737-8FE(WL); C8Y168 ; 4 May 2011 ;; Newport Beach ; 18.6 Years ;;;
; VH-VON ;Boeing 737-8FE(WL); C8Y168 ; 4 May 2011 ;; Greenmount Point ; 18.5 Years ;;;
; VH-VOO ;Boeing 737-8FE(WL); C8Y168 ; 30 Jan 2015 ;; Peaceful Bay ; 18.5 Years ;;;
; VH-VUE ;Boeing 737-8FE(WL); C8Y168 ; 4 May 2011 ;lsd ; Curl Curl Beach ; 17 Years ;;;
; VH-VUG ;Boeing 737-8FE(WL); C8Y168 ; 7 Dec 2011 ;lsd ; Jasmine Tasman ; 15.8 Years ;;;
; VH-VUH ;Boeing 737-8FE(WL); C8Y168 ; 24 Feb 2015 ;lsd ; Lady Rebecca ; 15.6 Years ;;;
; VH-VUI ;Boeing 737-8FE(WL); C8Y168 ; 10 Sep 2021 ;lsd ; Kewarra Beach ; 15.6 Years ;;;
; VH-VUJ ;Boeing 737-8FE(WL); C8Y168 ; 20 Oct 2021 ;lsd ; Rosebud Beach ; 15.5 Years ;;;
; VH-VUK ;Boeing 737-8FE(WL); C8Y168 ; 4 May 2011 ;lsd ; Seaford Beach ; 14.6 Years ;;;
; VH-VUL ;Boeing 737-8FE(WL); C8Y168 ; 4 May 2011 ; Parked ; Ocean Grove ; 14.6 Years ;;;
; VH-VUO ;Boeing 737-8FE(WL); C8Y168 ; 5 Feb 2015 ;; Eighty Mile Beach ; 14 Years ;;;
; VH-VUP ;Boeing 737-8FE(WL); C8Y168 ; 10 Mar 2015 ;lsd ; Lighthouse Beach ; 13.7 Years ;;;
; VH-VUQ ;Boeing 737-8FE(WL); C8Y168 ; 16 Mar 2015 ;lsd ; Merewether Beach ; 13.6 Years ;;;
; VH-VUR ;Boeing 737-8FE(WL); C8Y168 ; 13 May 2021 ;lsd ; Star City ; 12.4 Years ;;;
; VH-VUS ;Boeing 737-8FE(WL); C8Y168 ; 4 May 2011 ;lsd ; Seaspray Beach ; 12.3 Years ;;;
; VH-VUT ;Boeing 737-8FE(WL); C8Y168 ; 4 May 2011 ;lsd ; Alma Bay ; 12.2 Years ;;;
