;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; TC-DCA ;Airbus A320-214(WL); Y180 ; 29 Nov 2013 ; Parked, lsd ; Pınar ; 8.3 Years ;;
; TC-DCB ;Airbus A320-214(WL); Y180 ; 5 Dec 2013 ;lsd ; Talya ; 8.3 Years ;;
; TC-DCD ;Airbus A320-214(WL); Y180 ; 24 Mar 2014 ;lsd ; Deniz ; 8 Years ;;
; TC-DCE ;Airbus A320-214(WL); Y180 ; 20 Feb 2015 ;lsd ; Ella ; 7.1 Years ;;
; TC-DCG ;Airbus A320-214(WL); Y180 ; 21 May 2015 ;lsd ; Su ; 6.8 Years ;;
; TC-DCH ;Airbus A320-214(WL); Y180 ; 5 Jun 2015 ;lsd ; Deren ; 6.8 Years ;;
; TC-DCI ;Airbus A320-214(WL); Y180 ; 2 Jul 2015 ;lsd ; Derya ; 6.7 Years ;;
; TC-DCL ;Airbus A320-214(WL); Y186 ; 6 Jun 2016 ; Parked, lsd ; Sevim ; 5.8 Years ;;
; TC-DCM ;Airbus A320-214(WL); Y186 ; 21 Jun 2016 ;lsd ; Buse ; 5.7 Years ;;
; TC-NBA ;Airbus A320-251N; Y186 ; 19 Jul 2016 ; Parked ; Demokrasi ; 5.6 Years ;;
; TC-NBB ;Airbus A320-251N; Y186 ; 22 Aug 2016 ;; Segah ; 5.6 Years ;;
; TC-NBC ;Airbus A320-251N; Y186 ; 23 Sep 2016 ;; Göksu ; 5.4 Years ;;
; TC-NBD ;Airbus A320-251N; Y186 ; 26 Aug 2016 ;lsd ; Buğlem ; 5.6 Years ;;
; TC-NBE ;Airbus A320-251N; Y186 ; 23 Dec 2016 ;; Pırıl ; 5.2 Years ;;
; TC-NBF ;Airbus A320-251N; Y186 ; 6 Dec 2016 ;; Ayda ; 5.3 Years ;;
; TC-NBG ;Airbus A320-251N; Y186 ; 16 Dec 2016 ;; Ela ; 5.2 Years ;;
; TC-NBH ;Airbus A320-251N; Y186 ; 29 Dec 2016 ;; Lena ; 5.2 Years ;;
; TC-NBI ;Airbus A320-251N; Y186 ; 23 Dec 2016 ;; Hilal ; 5.2 Years ;;
; TC-NBJ ;Airbus A320-251N; Y186 ; 30 Jun 2017 ;lsd ; Reyyan ; 4.7 Years ;;
; TC-NBK ;Airbus A320-251N; Y186 ; 4 Aug 2017 ;lsd ; Alya ; 4.6 Years ;;
; TC-NBL ;Airbus A320-251N; Y186 ; 11 Oct 2017 ;lsd ; Hazal ; 4.4 Years ;;
; TC-NBM ;Airbus A320-251N; Y186 ; 20 Dec 2017 ;; Ekin Naz ; 4.2 Years ;;
; TC-NBN ;Airbus A320-251N; Y186 ; 27 Dec 2017 ;; Bahar ; 4.2 Years ;;
; TC-NBO ;Airbus A320-251N; Y186 ; 28 Dec 2017 ;lsd ; Asya ; 4.2 Years ;;
; TC-NBP ;Airbus A320-251N; Y186 ; 22 Feb 2018 ;; Eylül Masal ; 4 Years ;;
; TC-NBR ;Airbus A320-251N; Y186 ; 29 Mar 2018 ;lsd ; Irem Asya ; 3.9 Years ;;
; TC-NBS ;Airbus A320-251N; Y186 ; 27 Apr 2018 ; Parked ; Feyza ; 3.9 Years ;;
; TC-NBT ;Airbus A320-251N; Y186 ; 19 Jun 2018 ;lsd ; Ahsen Sena ; 3.7 Years ;;
; TC-NBU ;Airbus A320-251N; Y186 ; 7 Jun 2018 ;lsd ; Bilge ; 3.8 Years ;;
; TC-NBV ;Airbus A320-251N; Y186 ; 27 Jun 2018 ;lsd ; Rüya ; 3.7 Years ;;
; TC-NBY ;Airbus A320-251N; Y186 ; 20 Jul 2018 ;lsd ; Gülse ; 3.6 Years ;;
; TC-NBZ ;Airbus A320-251N; Y186 ; 4 Mar 2019 ;lsd ; Azize ; 3 Years ;;
; TC-NCA ;Airbus A320-251N; Y186 ; 28 Mar 2019 ;lsd ; Lina ; 2.9 Years ;;
; TC-NCB ;Airbus A320-251N; Y186 ; 13 Jun 2019 ;lsd ; Armin ; 2.7 Years ;;
; TC-NCC ;Airbus A320-251N; Y186 ; 16 Jul 2019 ;lsd ; Anna ; 2.6 Years ;;
; TC-NCD ;Airbus A320-251N; Y186 ; 23 Jul 2019 ;lsd ; Havvanur ; 2.6 Years ;;
; TC-NCE ;Airbus A320-251N; Y186 ; 29 May 2019 ;; Simay ; 2.8 Years ;;
; TC-NCF ;Airbus A320-251N; Y186 ; 17 May 2019 ;; Alin Güneş ; 2.8 Years ;;
; TC-NCG ;Airbus A320-251N; Y186 ; 12 Jul 2019 ;; Ecrin Sena ; 2.7 Years ;;
; TC-NCH ;Airbus A320-251N; Y186 ; 31 Jul 2019 ;; Ekin ; 2.6 Years ;;
; TC-NCI ;Airbus A320-251N; Y186 ; 2 Mar 2020 ;; Zerya ; 2 Years ;;
