;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; VH-EBA ;Airbus A330-202; C28Y243 ; 24 Aug 2014 ;; Cradle Mountain ; 19.4 Years ;;
; VH-EBB ;Airbus A330-202; C28Y243 ; 29 May 2014 ; Parked ; Albany ; 19.3 Years ;;
; VH-EBC ;Airbus A330-202; C28Y243 ; 21 Jul 2014 ;; Surfers Paradise ; 19.1 Years ;;
; VH-EBD ;Airbus A330-202; C28Y243 ; 4 Sep 2014 ; Parked ; Traralgon ; 19.1 Years ;;
; VH-EBE ;Airbus A330-202; C28Y243 ; 16 Oct 2015 ;; Kangaroo Valley ; 14.8 Years ;;
; VH-EBF ;Airbus A330-202; C28Y243 ; 26 Aug 2015 ;; King Valley ; 14.6 Years ;;
; VH-EBG ;Airbus A330-203; C28Y243 ; 13 Dec 2007 ;lsd ; Barossa Valley ; 14.3 Years ;;
; VH-EBJ ;Airbus A330-202; C28Y243 ; 26 Feb 2015 ;lsd ; Margaret River ; 13.8 Years ;;
; VH-EBK ;Airbus A330-202; C28Y243 ; 13 Aug 2015 ;; Savannah Way ; 13.7 Years ;;
; VH-EBL ;Airbus A330-203; C28Y243 ; 12 Dec 2008 ;; Whitsundays ; 13.3 Years ;;
; VH-EBM ;Airbus A330-202; C27Y228 ; 23 Nov 2009 ;lsd ; Tamar Valley ; 12.3 Years ;;
; VH-EBN ;Airbus A330-202; C27Y228 ; 23 Feb 2010 ; Parked, lsd ; Clare Valley ; 12.1 Years ;;
; VH-EBO ;Airbus A330-202; C27Y228 ; 15 Nov 2010 ;lsd ; Kimberley ; 11.4 Years ;;
; VH-EBP ;Airbus A330-202; C27Y228 ; 14 Dec 2010 ;lsd ; Ningaloo Reef ; 11.3 Years ;;
; VH-EBQ ;Airbus A330-202; C27Y228 ; 23 Jan 2014 ;lsd ; Wolgan Valley ; 11.1 Years ;;
; VH-EBR ;Airbus A330-202; C27Y228 ; 19 Feb 2014 ;lsd ; Lockyer Valley ; 10.5 Years ;;
; VH-EBS ;Airbus A330-202; C27Y228 ; 19 Apr 2013 ; Parked, lsd ; Swan Valley ; 10.4 Years ;;
; VH-EBV ;Airbus A330-202; C27Y228 ; 23 Nov 2012 ;oneworld cs ; Kangaroo Island ; 9.3 Years ;;
; VH-QPA ;Airbus A330-303; C28Y269 ; 26 Nov 2003 ;; Kununurra ; 18.3 Years ;;
; VH-QPB ;Airbus A330-303; C28Y269 ; 12 Dec 2003 ;; Tennant Creek ; 18.4 Years ;;
; VH-QPC ;Airbus A330-303; C28Y269 ; 22 Jan 2004 ;; Broken Hill ; 18.3 Years ;;
; VH-QPD ;Airbus A330-303; C28Y269 ; 27 Oct 2004 ;; Port Macquarie ; 18.1 Years ;;
; VH-QPE ;Airbus A330-303; C28Y269 ; 28 Jun 2004 ;; Port Lincoln ; 17.8 Years ;;
; VH-QPF ;Airbus A330-303; C28Y269 ; 18 Jun 2004 ; Parked ; Esperance ; 17.9 Years ;;
; VH-QPG ;Airbus A330-303; C28Y269 ; 22 Jul 2004 ;; Mt. Gambier ; 17.8 Years ;;
; VH-QPH ;Airbus A330-303; C28Y269 ; 12 Oct 2005 ;; Noosa ; 16.5 Years ;;
; VH-QPI ;Airbus A330-303; C28Y269 ; 16 Nov 2005 ;; Cairns ; 16.4 Years ;;
; VH-QPJ ;Airbus A330-303; C28Y269 ; 19 Dec 2005 ;; Port Stephens ; 16.2 Years ;;
; VH-OQA ;Airbus A380-842; F14C64W35Y371 ; 19 Sep 2008 ; Parked VCV ; Nancy-Bird Walton ; 14.1 Years ;;
; VH-OQB ;Airbus A380-842; F14C64W35Y371 ; 15 Dec 2008 ;; Hudson Fysh ; 13.7 Years ;;
; VH-OQC ;Airbus A380-842; F14C64W35Y371 ; 27 Dec 2008 ; Parked AUH ; Paul McGinness ; 13.6 Years ;;
; VH-OQD ;Airbus A380-842; F14C70W60Y341 ; 22 Aug 2009 ; Parked SYD ; Fergus McMaster ; 13.3 Years ;;
; VH-OQE ;Airbus A380-842; F14C64W35Y371 ; 18 Dec 2009 ; Parked VCV ; Lawrence Hargrave ; 12.9 Years ;;
; VH-OQF ;Airbus A380-842; F14C64W35Y371 ; 7 Jan 2010 ; Parked VCV ; Charles Kingsford Smith ; 12.9 Years ;;
; VH-OQG ;Airbus A380-842; F14C70W60Y341 ; 16 Dec 2010 ; Parked VCV ; Charles Ulm ; 12.6 Years ;;
; VH-OQH ;Airbus A380-842; F14C70W60Y341 ; 31 Jan 2011 ; Parked VCV ; Reginald Ansett ; 12.5 Years ;;
; VH-OQI ;Airbus A380-842; F14C64W35Y371 ; 13 Jan 2011 ; Parked VCV ; David Warren ; 11.8 Years ;;
