;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; ET-ATQ ;Airbus A350-941; C30Y318 ; 28 Jun 2016 ; Parked, lsd ; Simien Mountains ; 5.7 Years ;;
; ET-ATR ;Airbus A350-941; C30Y318 ; 15 Aug 2016 ;lsd ; Bale Mountains ; 5.6 Years ;;
; ET-ATY ;Airbus A350-941; C30Y318 ; 31 Jan 2017 ;; Ertale ; 5.1 Years ;;
; ET-AUA ;Airbus A350-941; C30Y318 ; 28 Apr 2017 ;lsd ; Simien Fox ; 4.9 Years ;;
; ET-AUB ;Airbus A350-941; C30Y318 ; 26 Jun 2017 ;lsd ; Gheralta Mountains ; 4.7 Years ;;
; ET-AUC ;Airbus A350-941; C30Y318 ; 20 Oct 2017 ;; Abyssinia ; 4.4 Years ;;
; ET-AVB ;Airbus A350-941; C30Y318 ; 6 Feb 2018 ;; Gelada Baboon ; 4.1 Years ;;
; ET-AVC ;Airbus A350-941; C30Y318 ; 20 Apr 2018 ;lsd ; The Pyramids ; 4 Years ;;
; ET-AVD ;Airbus A350-941; C30Y318 ; 18 May 2018 ;; Mount Everest ; 3.9 Years ;;
; ET-AVE ;Airbus A350-941; C30Y318 ; 7 Dec 2018 ;"Celebrating our 10th A350" titles ; New York ; 3.3 Years ;;
; ET-AWM ;Airbus A350-941; C30Y318 ; 5 Apr 2019 ;; Rome ; 3 Years ;;
; ET-AWN ;Airbus A350-941; C30Y318 ; 24 May 2019 ;lsd ; Bunna ; 2.8 Years ;;
; ET-AWO ;Airbus A350-941; C30Y318 ; 4 Oct 2019 ;; Sao Paulo ; 2.5 Years ;;
; ET-AWP ;Airbus A350-941; C30Y318 ; 13 Dec 2019 ;; Paris ; 2.2 Years ;;
; ET-AYA ;Airbus A350-941; C30Y318 ; 6 Nov 2020 ;; Geneva ; 1.5 Years ;;
; ET-AYB ;Airbus A350-941; C30Y318 ; 6 Nov 2020 ; Parked ; Singapore ; 1.8 Years ;;
; ET-AYM ;Airbus A350-941; C30Y318 ; 3 Dec 2021 ;; Ethiopia ; 0.5 Years ;;
; ET-AYN ;Airbus A350-941; C30Y318 ; 10 Dec 2021 ;Star Alliance cs ; Selamta ሰላምታ ; 0.4 Years ;;
; ET-AVI ;Boeing 737-8 MAX; C16Y144 ; 23 Sep 2018 ; Parked ADD ;; 3.5 Years ;;
; ET-AVK ;Boeing 737-8 MAX; C16Y144 ; 30 Dec 2018 ; Parked ADD ;; 3.2 Years ;;
; ET-AVL ;Boeing 737-8 MAX; C16Y144 ; 27 Aug 2018 ; Parked ADD ;; 3.5 Years ;;
; ET-AVM ;Boeing 737-8 MAX; C16Y144 ; 30 Jun 2018 ; Parked ;; 3.7 Years ;;
