;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Aircraft Name;Age;;
; N650FE ;Airbus A300F4-605R; Cargo ; 24 May 1994 ;; 650 ; Molly Mickler ; 28.2 Years ;;
; N651FE ;Airbus A300F4-605R; Cargo ; 28 Apr 1994 ;; 651 ; Diane Kathleen ; 28.1 Years ;;
; N652FE ;Airbus A300F4-605R; Cargo ; 20 Jul 1994 ;; 652 ; Rachel Patricia ; 27.9 Years ;;
; N653FE ;Airbus A300F4-605R; Cargo ; 28 Jul 1994 ;; 653 ; Samantha Massey ; 27.8 Years ;;
; N654FE ;Airbus A300F4-605R; Cargo ; 28 Sep 1994 ;; 654 ; Richard ; 27.7 Years ;;
; N655FE ;Airbus A300F4-605R; Cargo ; 21 Nov 1994 ;; 655 ; Dion ; 27.5 Years ;;
; N656FE ;Airbus A300F4-605R; Cargo ; 21 Feb 1995 ;; 656 ; Devin ; 27.3 Years ;;
; N657FE ;Airbus A300F4-605R; Cargo ; 2 Mar 1995 ;; 657 ; Lizzie ; 27.1 Years ;;
; N658FE ;Airbus A300F4-605R; Cargo ; 4 May 1995 ;; 658 ; Tristian ; 27.1 Years ;;
; N659FE ;Airbus A300F4-605R; Cargo ; 31 Jul 1995 ;; 659 ; Calvin ; 26.8 Years ;;
; N660FE ;Airbus A300F4-605R; Cargo ; 20 Sep 1995 ;; 660 ; Zack ; 26.7 Years ;;
; N661FE ;Airbus A300F4-605R; Cargo ; 25 Oct 1995 ;; 661 ; Whitney ; 26.5 Years ;;
; N662FE ;Airbus A300F4-605R; Cargo ; 23 Sep 1996 ;; 662 ; Vanesse ; 25.6 Years ;;
; N663FE ;Airbus A300F4-605R; Cargo ; 29 Nov 1995 ;; 663 ; Domenick ; 26.5 Years ;;
; N664FE ;Airbus A300F4-605R; Cargo ; 20 Feb 1996 ;; 664 ; Avery ; 26.3 Years ;;
; N665FE ;Airbus A300F4-605R; Cargo ; 19 Mar 1996 ;; 665 ; Ethan ; 26.2 Years ;;
; N667FE ;Airbus A300F4-605R; Cargo ; 28 Aug 1996 ;; 667 ; Sean ; 25.7 Years ;;
; N668FE ;Airbus A300F4-605R; Cargo ; 14 May 1996 ;; 668 ; Ramsay ; 26 Years ;;
; N669FE ;Airbus A300F4-605R; Cargo ; 25 Jun 1996 ;; 669 ; Kaitlyn ; 25.9 Years ;;
; N670FE ;Airbus A300F4-605R; Cargo ; 9 Jun 1997 ;; 670 ; Amrit ; 24.9 Years ;;
; N671FE ;Airbus A300F4-605R; Cargo ; 6 Jul 1997 ;; 671 ; Caleb ; 24.8 Years ;;
; N672FE ;Airbus A300F4-605R; Cargo ; 19 Aug 1997 ;; 672 ; Yang Jae ; 24.7 Years ;;
; N673FE ;Airbus A300F4-605R; Cargo ; 28 Aug 1997 ;; 673 ; Mark ; 24.6 Years ;;
; N674FE ;Airbus A300F4-605R; Cargo ; 18 Sep 1997 ;; 674 ; Thea ; 24.5 Years ;;
; N675FE ;Airbus A300F4-605R; Cargo ; 18 Jun 1998 ;; 675 ; Byron ; 23.8 Years ;;
; N676FE ;Airbus A300F4-605R; Cargo ; 15 Jul 1998 ;; 676 ; Dakota ; 23.7 Years ;;
; N677FE ;Airbus A300F4-605R; Cargo ; 27 Aug 1998 ;; 677 ; Clifford ; 23.6 Years ;;
; N678FE ;Airbus A300F4-605R; Cargo ; 22 Sep 1998 ;; 678 ; Allison ; 23.5 Years ;;
; N679FE ;Airbus A300F4-605R; Cargo ; 22 Oct 1998 ;; 679 ; Ty ; 23.4 Years ;;
; N680FE ;Airbus A300F4-605R; Cargo ; 17 Nov 1998 ;; 680 ; Tierney ; 23.4 Years ;;
; N681FE ;Airbus A300F4-605R; Cargo ; 18 May 1999 ;; 681 ; Kaci ; 22.9 Years ;;
; N682FE ;Airbus A300F4-605R; Cargo ; 3 Jun 1999 ;; 682 ; Gabrial ; 22.9 Years ;;
; N683FE ;Airbus A300F4-605R; Cargo ; 28 Jul 1999 ;; 683 ; Gianna ; 22.7 Years ;;
; N684FE ;Airbus A300F4-605R; Cargo ; 20 Aug 1999 ;; 684 ; Daniel ; 22.6 Years ;;
; N685FE ;Airbus A300F4-605R; Cargo ; 28 May 2003 ;; 685 ; Landon Ostlie ; 22.6 Years ;;
; N686FE ;Airbus A300F4-605R; Cargo ; 19 Oct 1999 ;; 686 ; Alex ; 22.5 Years ;;
; N687FE ;Airbus A300F4-605R; Cargo ; 14 Feb 2007 ;; 687 ; Aika ; 15.3 Years ;;
; N688FE ;Airbus A300F4-605R; Cargo ; 20 Mar 2007 ;; 688 ; Kaitlin ; 15.2 Years ;;
; N689FE ;Airbus A300F4-605R; Cargo ; 5 Jun 2007 ;; 689 ; Christoff ; 15.1 Years ;;
; N690FE ;Airbus A300F4-605R; Cargo ; 24 Apr 2007 ;; 690 ; Malaya ; 15 Years ;;
; N691FE ;Airbus A300F4-605R; Cargo ; 12 Jun 2007 ;; 691 ; Hanna ; 14.9 Years ;;
; N692FE ;Airbus A300F4-605R; Cargo ; 17 Jul 2007 ;; 692 ; Gabriel ; 14.9 Years ;;
; N721FD ;Airbus A300B4-622R(F); Cargo ; 20 Dec 2000 ;; 721 ; Kathryn ; 33.4 Years ;;
; N722FD ;Airbus A300B4-622R(F); Cargo ; 20 Jun 2002 ;; 722 ; Terry ; 33.4 Years ;;
; N723FD ;Airbus A300B4-622R(F); Cargo ; 20 Jun 2002 ;; 723 ; Cody ; 32.3 Years ;;
; N724FD ;Airbus A300B4-622R(F); Cargo ; 13 Apr 2005 ;; 724 ; Anacarina ; 32.6 Years ;;
; N725FD ;Airbus A300B4-622R(F); Cargo ; 5 Dec 2005 ;; 725 ; Zebradedra ; 31.5 Years ;;
; N726FD ;Airbus A300B4-622R(F); Cargo ; 24 Mar 2006 ;; 726 ; Wyatt ; 31.4 Years ;;
; N727FD ;Airbus A300B4-622R(F); Cargo ; 8 Jul 2005 ;; 727 ; Mira ; 31.3 Years ;;
; N728FD ;Airbus A300B4-622R(F); Cargo ; 28 Sep 2005 ;; 728 ; Casie ; 31.3 Years ;;
; N729FD ;Airbus A300B4-622R(F); Cargo ; 8 Apr 2005 ;; 729 ; Kaylee ; 29.6 Years ;;
; N730FD ;Airbus A300B4-622R(F); Cargo ; 17 Mar 2005 ;; 730 ; Kailey ; 29.6 Years ;;
; N731FD ;Airbus A300B4-605R(F); Cargo ; 21 Jul 2006 ;; 731 ; Bryan ; 28.5 Years ;;
