;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; A6-EIA ;Airbus A320-232; C16Y120 ; 29 Mar 2020 ; Parked AUH, lsd ; 19.1 Years ;;
; A6-EIC ;Airbus A320-232; C16Y120 ; 14 Dec 2007 ; Parked, lsd ; 18.1 Years ;;
; A6-EIH ;Airbus A320-232; C16Y120 ; 25 Nov 2008 ; Parked, lsd ; 13.3 Years ;;
; A6-EII ;Airbus A320-232; C16Y120 ; 23 Dec 2016 ; Parked, lsd ; 13.3 Years ;;
; A6-EIK ;Airbus A320-232; C16Y120 ; 27 Jan 2009 ; Parked ; 13.3 Years ;;
; A6-EIL ;Airbus A320-232; C16Y120 ; 26 Oct 2009 ; Parked, lsd ; 12.4 Years ;;
; A6-EIN ;Airbus A320-232; C16Y120 ; 7 Dec 2009 ; Parked, lsd ; 12.3 Years ;;
; A6-EIO ;Airbus A320-232; C16Y120 ; 20 Dec 2011 ; Parked ; 10.2 Years ;;
; A6-EIP ;Airbus A320-232; C16Y120 ; 29 Mar 2012 ;lsd, lst Sudan Government ; 9.9 Years ;;
; A6-EIQ ;Airbus A320-232; C16Y120 ; 13 Nov 2012 ; Parked ; 9.3 Years ;;
; A6-EIR ;Airbus A320-232; C16Y120 ; 19 Dec 2012 ; Parked ; 9.2 Years ;;
; A6-EIS ;Airbus A320-232(WL); C16Y120 ; 22 Aug 2013 ;lsd ; 8.6 Years ;;
; A6-EIT ;Airbus A320-232(WL); C16Y120 ; 17 Oct 2013 ;lsd ; 8.4 Years ;;
; A6-EIU ;Airbus A320-232(WL); C16Y120 ; 25 Oct 2013 ;lsd ; 8.4 Years ;;
; A6-EIV ;Airbus A320-232(WL); C16Y120 ; 16 Dec 2013 ;lsd ; 8.3 Years ;;
; A6-EIW ;Airbus A320-232(WL); C16Y120 ; 22 Jan 2014 ;lsd ; 8.2 Years ;;
; A6-EIX ;Airbus A320-232(WL); C16Y120 ; 24 Jun 2014 ;; 7.8 Years ;;
; A6-EIY ;Airbus A320-232(WL); C16Y120 ; 8 Sep 2014 ; Parked ; 7.5 Years ;;
; A6-EJA ;Airbus A320-232(WL); C16Y120 ; 23 Apr 2015 ; Parked ; 6.9 Years ;;
; A6-AEA ;Airbus A321-231(WL); C8Y188 ; 12 Nov 2013 ; Parked, lsd ; 8.3 Years ;;
; A6-AEB ;Airbus A321-231(WL); C8Y188 ; 23 May 2014 ;lsd ; 7.8 Years ;;
; A6-AEC ;Airbus A321-231(WL); C8Y188 ; 18 Jun 2014 ;lsd ; 7.7 Years ;;
; A6-AED ;Airbus A321-231(WL); C8Y188 ; 11 Dec 2014 ; Parked, lsd ; 7.3 Years ;;
; A6-AEE ;Airbus A321-231(WL); C8Y188 ; 13 Apr 2015 ;lsd ; 6.9 Years ;;
; A6-AEF ;Airbus A321-231(WL); C8Y188 ; 23 Apr 2015 ;lsd ; 6.9 Years ;;
; A6-AEG ;Airbus A321-231(WL); C8Y188 ; 20 Aug 2015 ; Parked, lsd ; 6.5 Years ;;
; A6-AEH ;Airbus A321-231(WL); C8Y188 ; 8 Sep 2015 ;lsd ; 6.5 Years ;;
; A6-AEI ;Airbus A321-231(WL); C8Y188 ; 30 Oct 2015 ;lsd ; 6.3 Years ;;
; A6-AEJ ;Airbus A321-231(WL); C8Y188 ; 16 Nov 2015 ;lsd ; 6.3 Years ;;
; A6-XWA ;Airbus A350-1041;; 15 Jul 2019 ; Parked ; 2.8 Years ;;
; A6-XWB ;Airbus A350-1041;; 31 May 2019 ; Parked, Year of the Fiftieth cs ; 2.9 Years ;;
; A6-XWC ;Airbus A350-1041;; 29 Jul 2019 ; Parked ; 2.7 Years ;;
; A6-XWD ;Airbus A350-1041;; 30 Sep 2019 ; Parked ; 2.6 Years ;;
; A6-XWE ;Airbus A350-1041;; 25 May 2020 ; Parked AUH ; 1.8 Years ;;
; A6-ETB ;Boeing 777-3FXER; C28Y384 ; 27 Feb 2006 ; Parked ; 16.2 Years ;;
; A6-ETC ;Boeing 777-3FXER; C28Y384 ; 29 Mar 2006 ; Parked AUH ; 16.2 Years ;;
; A6-ETD ;Boeing 777-3FXER; C28Y384 ; 20 Apr 2006 ; Parked AUH ; 16.1 Years ;;
; A6-ETE ;Boeing 777-3FXER; C28Y384 ; 16 May 2006 ; Parked AUH ; 16.1 Years ;;
; A6-ETG ;Boeing 777-3FXER; C28Y384 ; 18 May 2011 ;; 10.9 Years ;;
; A6-ETH ;Boeing 777-3FXER; C28Y384 ; 14 Sep 2011 ;; 10.5 Years ;;
; A6-ETI ;Boeing 777-3FXER; C28Y384 ; 23 Jan 2012 ;; 10.2 Years ;;
; A6-ETJ ;Boeing 777-3FXER; C28Y384 ; 17 Feb 2012 ;; 10.1 Years ;;
; A6-ETO ;Boeing 777-3FXER; F8C40Y280 ; 29 May 2013 ; Parked AUH ; 8.8 Years ;;
; A6-ETP ;Boeing 777-3FXER; C40Y340 ; 25 Jun 2013 ;; 8.7 Years ;;
; A6-ETQ ;Boeing 777-3FXER; C40Y340 ; 26 Sep 2013 ;; 8.5 Years ;;
; A6-ETR ;Boeing 777-3FXER; F8C40Y280 ; 27 Nov 2013 ; Parked AUH ; 8.3 Years ;;
; A6-ETS ;Boeing 777-3FXER; F8C40Y280 ; 16 Sep 2014 ;lsd ; 7.5 Years ;;
; A6-DDB ;Boeing 777-FFX; Cargo ; 30 Jan 2013 ;; 9.1 Years ;;
; A6-DDC ;Boeing 777-FFX; Cargo ; 9 May 2013 ;; 8.9 Years ;;
; A6-DDD ;Boeing 777-FFX; Cargo ; 25 Feb 2016 ;; 6 Years ;;
