;Reg;Aircraft Type; Config ;Delivered; Remark ;Fleet Number;Age;;;
; N2301U ;Airbus A319-111;; 28 Jan 2021 ; Parked GYR ; 4301 ; 16.7 Years ;;;
; N2302U ;Airbus A319-111;; 11 Dec 2020 ; Parked GYR ; 4302 ; 16.5 Years ;;;
; N3303U ;Airbus A319-111;; 24 Feb 2021 ; Parked GYR ; 4303 ; 16.4 Years ;;;
; N3304U ;Airbus A319-111;; 6 Apr 2021 ; Parked GYR ; 4304 ; 16.3 Years ;;;
; N3315U ;Airbus A319-111;; 22 Dec 2021 ; Parked ROW ; 4315 ; 15.8 Years ;;;
; N3316U ;Airbus A319-111;; Due ; Stored ; 4316 ; 15.8 Years ;;;
; N4306U ;Airbus A319-111;; 6 Apr 2021 ; Parked GYR ; 4306 ; 16.2 Years ;;;
; N4888U ;Airbus A319-132; C8Y120 ; 17 Oct 2017 ;lsd ; 4888 ; 14.4 Years ;;;
; N5307U ;Airbus A319-111;; 4 Dec 2020 ; Parked GYR ; 4307 ; 16.1 Years ;;;
; N5317U ;Airbus A319-111;; 27 Oct 2021 ; Parked GYR ; 4317 ; 15.8 Years ;;;
; N6308U ;Airbus A319-111;; 3 Jun 2021 ; Parked GYR ; 4308 ; 16.1 Years ;;;
; N6309U ;Airbus A319-111;; 14 May 2021 ; Parked GYR ; 4309 ; 16 Years ;;;
; N6310U ;Airbus A319-111;; 8 Oct 2021 ; Parked GYR ; 4310 ; 15.9 Years ;;;
; N6311U ;Airbus A319-111;; 18 Jan 2022 ; Parked ROW ; 4311 ; 15.9 Years ;;;
; N6318U ;Airbus A319-111;; Due ; Stored ; 4318 ; 15.8 Years ;;;
; N801UA ;Airbus A319-131; C12Y114 ; 26 Jun 1997 ; Parked ; 4001 ; 24.7 Years ;;;
; N802UA ;Airbus A319-131; C12Y114 ; 30 Jun 1997 ;; 4002 ; 24.7 Years ;;;
; N803UA ;Airbus A319-131; C12Y114 ; 25 Nov 1997 ;; 4003 ; 24.3 Years ;;;
; N804UA ;Airbus A319-131; C12Y114 ; 18 Dec 1997 ; Parked ROW ; 4004 ; 24.3 Years ;;;
; N805UA ;Airbus A319-131; C12Y114 ; 12 Feb 1998 ; Parked ; 4005 ; 24.1 Years ;;;
; N806UA ;Airbus A319-131; C12Y114 ; 27 Feb 1998 ; Parked ; 4006 ; 24 Years ;;;
; N807UA ;Airbus A319-131; C12Y114 ; 17 Mar 1998 ; Parked ; 4007 ; 24 Years ;;;
; N808UA ;Airbus A319-131; C12Y114 ; 26 Mar 1998 ;; 4008 ; 24 Years ;;;
; N809UA ;Airbus A319-131; C12Y114 ; 19 May 1998 ;; 4009 ; 23.8 Years ;;;
; N810UA ;Airbus A319-131; C12Y114 ; 29 Jun 1998 ; Parked ; 4010 ; 23.7 Years ;;;
