;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; CS-TTL ;Airbus A319-111; CY144 ; 20 Oct 1999 ; Parked, lsd ; Almeida Garrett ; 22.4 Years ;;
; CS-TTN ;Airbus A319-111; CY144 ; 10 Nov 1999 ;lsd ; Camilo Castelo Branco ; 22.3 Years ;;
; CS-TTO ;Airbus A319-111; CY144 ; 24 Nov 1999 ;lsd ; Antero de Quental ; 22.3 Years ;;
; CS-TTP ;Airbus A319-111; CY144 ; 25 Jan 2000 ;; Josefa d’Obidos ; 22.1 Years ;;
; CS-TTR ;Airbus A319-112; CY144 ; 8 Apr 2008 ;; Soares dos Reis ; 19.7 Years ;;
; CS-TTS ;Airbus A319-112; CY144 ; 24 Apr 2008 ;; Guilhermina Suggia ; 19.7 Years ;;
; CS-TMW ;Airbus A320-214(WL); CY174 ; 2 Apr 2004 ; Parked, lsd, "Sharklet Retrofit Europe's 1st Airline" sticker ; Luisa Todi ; 20.3 Years ;;
; CS-TNJ ;Airbus A320-214; CY174 ; 22 Mar 2000 ;; Florbela Espanca ; 22 Years ;;
; CS-TNK ;Airbus A320-214; CY174 ; 27 Apr 2000 ;; Teofilo Braga ; 21.9 Years ;;
; CS-TNL ;Airbus A320-214; CY174 ; 31 May 2000 ;; Vitorino Nemesio ; 21.9 Years ;;
; CS-TNM ;Airbus A320-214; CY174 ; 18 Jun 2002 ; Parked, lsd ; Natalia Correia ; 19.8 Years ;;
; CS-TNN ;Airbus A320-214; CY174 ; 10 Jul 2002 ; Parked, lsd ; Gil Vicente ; 19.7 Years ;;
; CS-TNQ ;Airbus A320-214(WL); CY174 ; 6 Feb 2009 ;lsd ; José Régio ; 13.1 Years ;;
; CS-TNR ;Airbus A320-214(WL); CY174 ; 26 May 2009 ;lsd ; Luís de Freitas Branco ; 12.9 Years ;;
; CS-TNS ;Airbus A320-214(WL); CY174 ; 11 Sep 2009 ;lsd ; Damião de Góis ; 12.5 Years ;;
; CS-TNT ;Airbus A320-214(WL); CY174 ; 6 Nov 2009 ;lsd ; Rafael Bordalo Pinheiro ; 12.3 Years ;;
; CS-TNU ;Airbus A320-214(WL); CY174 ; 17 Nov 2009 ;lsd ; Columbano Bordalo Pinheiro ; 12.3 Years ;;
; CS-TNV ;Airbus A320-214(WL); CY174 ; 18 Dec 2009 ;lsd ; Grão Vasco ; 12.2 Years ;;
; CS-TNW ;Airbus A320-214; CY174 ; 15 May 2014 ;lsd ; José Saramago ; 15.8 Years ;;
; CS-TNX ;Airbus A320-214; CY174 ; 11 Jun 2014 ;lsd ; Malangatana ; 15.7 Years ;;
; CS-TNY ;Airbus A320-214; CY174 ; 16 Jul 2017 ;lsd ; Domingos Sequeira ; 10.7 Years ;;
; CS-TVA ;Airbus A320-251N; CY174 ; 6 Apr 2018 ;lsd ; Padre Américo ; 3.9 Years ;;
; CS-TVB ;Airbus A320-251N; CY174 ; 19 Feb 2019 ;lsd ; Agustina Bessa-Luís ; 3.1 Years ;;
; CS-TVC ;Airbus A320-251N; CY174 ; 11 Apr 2019 ;lsd ; Nicolau Breyner ; 2.9 Years ;;
; CS-TVD ;Airbus A320-251N; CY174 ; 17 May 2019 ;lsd ; Carlos Paredes ; 2.8 Years ;;
; CS-TVE ;Airbus A320-251N; CY174 ; 29 May 2019 ;lsd ; Amélia Rey Colaço ; 2.8 Years ;;
; CS-TVF ;Airbus A320-251N; CY174 ; 22 Jul 2019 ; Parked, lsd, Star Alliance cs ; José Carlos Ary dos Santos ; 2.6 Years ;;
; CS-TVG ;Airbus A320-251N; CY174 ; 22 Nov 2019 ;lsd ; Amadeo de Souza Cardozo ; 2.3 Years ;;
; CS-TVH ;Airbus A320-251N; CY174 ; 18 Nov 2020 ;lsd ; Eça de Queirós ; 1.6 Years ;;
; CS-TVI ;Airbus A320-251N; CY174 ; 17 Apr 2021 ;; Sophia de Mello Breyner ; 1 Years ;;
; CS-TVJ ;Airbus A320-251N; CY174 ; 24 Apr 2021 ;lsd ; Aristides de Sousa Mendes ; 0.9 Years ;;
; CS-TVK ;Airbus A320-251N; CY174 ; 20 Aug 2021 ;lsd ;; 0.8 Years ;;
; CS-TJE ;Airbus A321-211; CY216 ; 31 Aug 2000 ;; Pero Vaz de Caminha ; 21.5 Years ;;
; CS-TJF ;Airbus A321-211; CY216 ; 9 Jan 2001 ; Parked ; Luis Vaz de Camoes ; 21.2 Years ;;
; CS-TJH ;Airbus A321-211; CY216 ; Mar 2017 ;lsd ; Manoel de Oliveira ; 17.5 Years ;;
; CS-TJI ;Airbus A321-251N; CY216 ; 19 Jun 2018 ;lsd ; Júlio Pomar ; 3.7 Years ;;
; CS-TJJ ;Airbus A321-251N; CY216 ; 30 Aug 2018 ;lsd ; Gonçalo Velho Cabral ; 3.5 Years ;;
; CS-TJK ;Airbus A321-251N; CY216 ; 21 Nov 2018 ;lsd ; Eugénio de Andrade ; 3.3 Years ;;
; CS-TJL ;Airbus A321-251N; CY216 ; 11 Dec 2018 ;lsd ; Zé Pedro ; 3.2 Years ;;
; CS-TJM ;Airbus A321-251N; W16Y182 ; 13 Mar 2019 ; Parked, lsd ; Raul Solnado ; 3.9 Years ;;
; CS-TJN ;Airbus A321-251N; W16Y182 ; 23 Jan 2019 ;lsd ; Nadir Afonso ; 3.7 Years ;;
; CS-TJO ;Airbus A321-251NX; CY221 ; 14 Nov 2019 ;lsd ; Vieira da Silva ; 2.3 Years ;;
; CS-TJP ;Airbus A321-251NX; CY221 ; 28 Nov 2019 ;lsd ; Gago Coutinho ; 2.3 Years ;;
; CS-TJQ ;Airbus A321-251NX; CY221 ; 30 Jan 2020 ;lsd ; Humberto Delgado ; 2.1 Years ;;
; CS-TJR ;Airbus A321-251NX; CY221 ; 27 Oct 2020 ;lsd, Retro cs ; Portugal ; 1.4 Years ;;
; CS-TXA ;Airbus A321-251NX; C16Y155 ; 4 Apr 2019 ; Parked, lsd ; Agostinho da Silva ; 2.9 Years ;;
; CS-TXB ;Airbus A321-251NX; C16Y155 ; 7 Jun 2019 ;lsd ; Jorge de Sena ; 2.8 Years ;;
; CS-TXC ;Airbus A321-251NX; C16Y155 ; 13 Sep 2019 ;lsd ; Pêro da Covilhã ; 2.5 Years ;;
; CS-TXD ;Airbus A321-251NX; C16Y155 ; 15 Nov 2019 ;lsd ; Roberto Ivens ; 2.3 Years ;;
; CS-TXE ;Airbus A321-251NX; C16Y155 ; 19 Jun 2020 ;; Fernando Pessoa ; 1.9 Years ;;
