;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; 9M-AFD ;Airbus A320-214; Y180 ; 16 Feb 2006 ; Parked, lsd, Allstar cs ; 16.1 Years ;;
; 9M-AFE ;Airbus A320-214; Y180 ; 2 Mar 2006 ;lsd ; 16 Years ;;
; 9M-AFF ;Airbus A320-214; Y180 ; 25 Apr 2006 ;lsd ; 15.9 Years ;;
; 9M-AFV ;Airbus A320-216; Y180 ; 3 Jul 2007 ; Parked, lsd, Legend Heroes Park cs ; 14.7 Years ;;
; 9M-AFW ;Airbus A320-216; Y180 ; 29 Feb 2008 ; Parked, lsd, AirAsia Mobile App cs ; 14.1 Years ;;
; 9M-AGC ;Airbus A320-216(WL); Y180 ; 14 Mar 2017 ; Parked, lsd ; 5 Years ;;
; 9M-AGM ;Airbus A320-216(WL); Y180 ; 30 Nov 2017 ; Parked, lsd ; 4.3 Years ;;
; 9M-AGP ;Airbus A320-216(WL); Y180 ; 4 Dec 2017 ; Parked, lsd ; 4.3 Years ;;
; 9M-AGT ;Airbus A320-216(WL); Y180 ; 28 Dec 2017 ;lsd ; 4.2 Years ;;
; 9M-AGU ;Airbus A320-216(WL); Y180 ; 22 Dec 2017 ;lsd ; 4.2 Years ;;
; 9M-AGY ;Airbus A320-216(WL); Y186 ; 29 Jun 2018 ;lsd ; 3.7 Years ;;
; 9M-AGZ ;Airbus A320-216(WL); Y186 ; 20 Jul 2018 ;lsd ; 3.7 Years ;;
; 9M-AHE ;Airbus A320-216; Y180 ; 4 Dec 2007 ;lsd, Jannine Weigel cs ; 14.3 Years ;;
; 9M-AHJ ;Airbus A320-216; Y180 ; 7 May 2008 ; Parked, lsd ; 13.9 Years ;;
; 9M-AHL ;Airbus A320-216; Y180 ; 17 Jun 2008 ; Parked, lsd, Honghe Nativeland cs ; 13.7 Years ;;
; 9M-AHR ;Airbus A320-216; Y180 ; 21 Nov 2008 ; Parked, lsd, Ejen Ali - MATA Spy Jet cs ; 13.3 Years ;;
; 9M-AHS ;Airbus A320-216; Y180 ; 9 Feb 2009 ; Parked, lsd ; 13.1 Years ;;
; 9M-AHT ;Airbus A320-216; Y180 ; 17 Aug 2009 ; Parked, lsd, Thank you Sabah cs ; 12.6 Years ;;
; 9M-AHV ;Airbus A320-214; Y180 ; 28 Oct 2009 ; Parked, lsd ; 12.4 Years ;;
; 9M-AHX ;Airbus A320-214; Y180 ; 17 May 2010 ; Parked, lsd, Connecting ASEAN cs ; 11.9 Years ;;
