;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; D-AIBA ;Airbus A319-112; CY138 ; 21 Dec 2009 ;lsd ;; 12.2 Years ;;
; D-AIBB ;Airbus A319-112; CY138 ; 3 Feb 2010 ;; Aalen ; 12.1 Years ;;
; D-AIBC ;Airbus A319-112; CY138 ; 9 Jun 2010 ;; Siegburg ; 11.7 Years ;;
; D-AIBD ;Airbus A319-112; CY138 ; 6 Oct 2010 ;; Pirmasens ; 11.4 Years ;;
; D-AIBE ;Airbus A319-112; CY138 ; 18 Nov 2010 ;; Schönefeld ; 11.3 Years ;;
; D-AIBF ;Airbus A319-112; CY138 ; 15 Aug 2011 ;; Sinsheim ; 10.6 Years ;;
; D-AIBG ;Airbus A319-112; CY138 ; 19 Sep 2011 ;; Kirchheim unter Teck ; 10.5 Years ;;
; D-AIBH ;Airbus A319-112; CY138 ; 30 Jul 2012 ;Star Alliance cs ; Herborn ; 9.6 Years ;;
; D-AIBI ;Airbus A319-112; CY138 ; 19 Sep 2012 ;Star Alliance cs ; Frankenthal (Pfalz) ; 9.5 Years ;;
; D-AIBJ ;Airbus A319-112; CY138 ; 26 Sep 2012 ;Star Alliance cs ; Lorsch ; 9.4 Years ;;
; D-AILA ;Airbus A319-114; CY138 ; 19 Jul 1996 ;; Frankfurt (Oder) ; 25.7 Years ;;
; D-AILB ;Airbus A319-114; CY138 ; 25 Jan 2019 ;opby Lufthansa CityLine ; Lutherstadt Wittenberg ; 25.6 Years ;;
; D-AILC ;Airbus A319-114; CY138 ; 23 Sep 1996 ;; Rüsselsheim ; 25.5 Years ;;
; D-AILD ;Airbus A319-114; CY138 ; 22 Oct 1996 ;; Dinkelsbühl ; 25.4 Years ;;
; D-AILE ;Airbus A319-114; CY138 ; 22 Nov 1996 ;; Kelsterbach ; 25.3 Years ;;
; D-AILF ;Airbus A319-114; CY138 ; 7 Jul 2011 ;Star Alliance cs ;; 25.2 Years ;;
; D-AILH ;Airbus A319-114; CY138 ; 29 Oct 2011 ;; Goch ; 25.1 Years ;;
; D-AILI ;Airbus A319-114; CY138 ; 29 Oct 2011 ;; Bad Nauheim ; 25.1 Years ;;
; D-AILK ;Airbus A319-114; CY138 ; 19 Jan 2007 ;; Aschaffenburg ; 24.9 Years ;;
; D-AILL ;Airbus A319-114; CY138 ; 28 Jun 2009 ; Parked ; Marburg ; 24.8 Years ;;
; D-AILM ;Airbus A319-114; CY138 ; 10 Jul 1997 ;; Friedrichshafen ; 24.7 Years ;;
; D-AILN ;Airbus A319-114; CY138 ; 9 Jul 2007 ;; Idar-Oberstein ; 24.6 Years ;;
; D-AILU ;Airbus A319-114; CY138 ; 12 Nov 1997 ;Lu cs ; Verden ; 24.3 Years ;;
; D-AILW ;Airbus A319-114; CY138 ; 4 Jul 2020 ;opby Lufthansa CityLine ; Donaueschingen ; 23.7 Years ;;
; D-AILX ;Airbus A319-114; CY138 ; 29 Feb 2020 ;opby Lufthansa CityLine ; Fellbach ; 23.6 Years ;;
; D-AILY ;Airbus A319-114; CY138 ; 1 Sep 1998 ; Parked ; Schweinfurt ; 23.5 Years ;;
; D-AIQS ;Airbus A320-211; CY168 ; 13 Jul 2018 ; Parked SOF ; Quedlinburg ; 29.1 Years ;;
; D-AIQT ;Airbus A320-211; CY168 ; 17 Nov 2000 ; Parked SOF ; Gotha ; 21.4 Years ;;
