;Reg;Aircraft Type; Config ;Delivered; Remark ;Aircraft Name;Age;;
; F-HZUA ;Airbus A220-300; CY148 ; 23 Sep 2021 ;; Le Bourget ; 0.5 Years ;;
; F-HZUB ;Airbus A220-300; CY148 ; 5 Nov 2021 ;lsd ; Saint-Jean-de-Luz ; 0.4 Years ;;
; F-HZUC ;Airbus A220-300; CY148 ; 3 Nov 2021 ;; Senlis ; 0.3 Years ;;
; F-HZUD ;Airbus A220-300; CY148 ; 15 Dec 2021 ;; Lesparre-Médoc ; 0.2 Years ;;
; F-HZUE ;Airbus A220-300; CY148 ; 30 Nov 2021 ; Parked ; Giverny ; 0.3 Years ;;
; F-HZUF ;Airbus A220-300; CY148 ; 17 Dec 2021 ;; Saint-Tropez ; 0.2 Years ;;
; F-HZUG ;Airbus A220-300; CY148 ; On Order ;;;;;
; F-HZUH ;Airbus A220-300; CY148 ; On Order ;;;;;
; F-HZUI ;Airbus A220-300; CY148 ; On Order ;;;;;
; F-GUGG ;Airbus A318-111; CY131 ; 29 Oct 2004 ;lsd ;; 17.4 Years ;;
; F-GUGH ;Airbus A318-111; CY131 ; 6 Dec 2004 ;lsd ;; 17.3 Years ;;
; F-GUGI ;Airbus A318-111; CY131 ; 13 Dec 2004 ; Parked ;; 17.3 Years ;;
; F-GUGJ ;Airbus A318-111; CY131 ; 14 Oct 2005 ;;; 16.4 Years ;;
; F-GUGK ;Airbus A318-111; CY131 ; 9 Nov 2005 ;lsd ;; 16.3 Years ;;
; F-GUGL ;Airbus A318-111; CY131 ; 22 Feb 2006 ;lsd ;; 16 Years ;;
; F-GUGM ;Airbus A318-111; CY131 ; 13 Apr 2006 ;;; 15.9 Years ;;
; F-GUGN ;Airbus A318-111; CY131 ; 26 Oct 2006 ; Parked ;; 15.4 Years ;;
; F-GUGO ;Airbus A318-111; CY131 ; 27 Nov 2006 ;lsd ;; 15.3 Years ;;
; F-GUGP ;Airbus A318-111; CY131 ; 14 Dec 2006 ;;; 15.2 Years ;;
; F-GUGQ ;Airbus A318-111; CY131 ; 11 Jan 2007 ;;; 15.2 Years ;;
; F-GUGR ;Airbus A318-111; CY131 ; 22 Feb 2007 ;lsd ;; 15.1 Years ;;
; F-GRHB ;Airbus A319-111; CY143 ; 18 Mar 1999 ;;; 23 Years ;;
; F-GRHF ;Airbus A319-111; CY143 ; 15 Jun 1999 ;;; 22.8 Years ;;
; F-GRHH ;Airbus A319-111; CY143 ; 22 Dec 1999 ; Parked ;; 22.2 Years ;;
; F-GRHI ;Airbus A319-111; CY142 ; 4 Feb 2000 ;lsd ;; 22.1 Years ;;
; F-GRHJ ;Airbus A319-111; CY142 ; 2 Mar 2000 ; Parked, lsd ;; 22.1 Years ;;
; F-GRHK ;Airbus A319-111; CY143 ; 14 Mar 2000 ;;; 22 Years ;;
; F-GRHL ;Airbus A319-111; CY143 ; 3 Apr 2000 ;lsd ;; 22 Years ;;
; F-GRHN ;Airbus A319-111; CY143 ; 10 Jul 2000 ;;; 21.7 Years ;;
; F-GRHO ;Airbus A319-111; CY143 ; 13 Jul 2000 ;lsd ;; 21.7 Years ;;
; F-GRHP ;Airbus A319-111; CY142 ; 20 Oct 2000 ;;; 21.4 Years ;;
; F-GRHQ ;Airbus A319-111; CY142 ; 11 Jan 2001 ;lsd ;; 21.2 Years ;;
; F-GRHR ;Airbus A319-111; CY143 ; 24 Jan 2001 ;lsd ;; 21.1 Years ;;
; F-GRHS ;Airbus A319-111; CY143 ; 22 Mar 2001 ;lsd ;; 21 Years ;;
; F-GRHT ;Airbus A319-111; CY143 ; 8 Mar 2001 ;;; 21 Years ;;
; F-GRHV ;Airbus A319-111; CY143 ; 30 May 2001 ;;; 20.8 Years ;;
; F-GRHX ;Airbus A319-111; CY142 ; 26 Jun 2001 ; Parked ;; 20.7 Years ;;
; F-GRHY ;Airbus A319-111; CY143 ; 15 Nov 2001 ;;; 20.3 Years ;;
; F-GRHZ ;Airbus A319-111; CY143 ; 23 Nov 2001 ;;; 20.3 Years ;;
; F-GRXA ;Airbus A319-111; CY143 ; 14 Dec 2001 ;lsd ;; 20.3 Years ;;
; F-GRXB ;Airbus A319-111; CY142 ; 19 Dec 2001 ;lsd ;; 20.2 Years ;;
; F-GRXC ;Airbus A319-111; CY143 ; 19 Feb 2002 ; Parked, lsd ;; 20.1 Years ;;
; F-GRXD ;Airbus A319-111; CY143 ; 21 Mar 2002 ;lsd ;; 20 Years ;;
; F-GRXE ;Airbus A319-111; CY143 ; 8 May 2002 ;lsd ;; 19.9 Years ;;
; F-GRXF ;Airbus A319-111; CY143 ; 25 Mar 2003 ;;; 19 Years ;;
; F-GRXJ ;Airbus A319-111; CY143 ; 20 Apr 2005 ;lsd ;; 16.9 Years ;;
; F-GRXK ;Airbus A319-111; CY143 ; 31 Mar 2006 ;;; 16 Years ;;
; F-GRXL ;Airbus A319-111; CY143 ; 23 Nov 2006 ;lsd ;; 15.3 Years ;;
; F-GRXM ;Airbus A319-111; CY143 ; 7 Dec 2006 ;lsd ;; 15.3 Years ;;
; F-GKXC ;Airbus A320-214; CY174 ; 10 Jul 2001 ;; Le Mans ; 20.8 Years ;;
; F-GKXE ;Airbus A320-214; CY178 ; 21 Jan 2003 ; Parked ;; 19.4 Years ;;
; F-GKXG ;Airbus A320-214; CY178 ; 21 Jan 2003 ;; Metz ; 19.4 Years ;;
; F-GKXH ;Airbus A320-214; CY174 ; 27 Jun 2019 ;lsd ; Montreuil ; 19.2 Years ;;
; F-GKXI ;Airbus A320-214; CY174 ; 27 Jun 2019 ;lsd ; Roissy en France ; 19.1 Years ;;
; F-GKXJ ;Airbus A320-214; CY174 ; 14 Feb 2003 ;lsd ;; 19.3 Years ;;
