;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; B-5955 ;Airbus A330-243; C36Y178 ; 30 Sep 2014 ; Parked, lsd ; 7.5 Years ;;
; B-5963 ;Airbus A330-243; C36Y178 ; 7 Nov 2014 ; Parked, lsd ; 7.4 Years ;;
; B-5979 ;Airbus A330-243; C36Y178 ; 27 Jan 2015 ;lsd ; 7.3 Years ;;
; B-6088 ;Airbus A330-243; C18Y242 ; 11 Mar 2008 ; Parked PEK, lsd ; 14 Years ;;
; B-6089 ;Airbus A330-243; C18Y242 ; 15 Apr 2008 ; Parked PEK, lsd ; 14 Years ;;
; B-6116 ;Airbus A330-243; C18Y242 ; 13 Nov 2007 ;lsd ; 14.4 Years ;;
; B-6118 ;Airbus A330-243; C18Y242 ; 11 Dec 2007 ;lsd ; 14.3 Years ;;
; B-6133 ;Airbus A330-243; C18Y242 ; 18 Feb 2009 ;lsd ; 13.1 Years ;;
; B-6519 ;Airbus A330-243; C18Y242 ; 15 Oct 2010 ;lsd ; 11.4 Years ;;
; B-1020 ;Airbus A330-343; C24Y279 ; 21 Dec 2017 ;; 4.3 Years ;;
; B-1021 ;Airbus A330-343; C24Y279 ; 22 Dec 2017 ; Parked ; 4.3 Years ;;
; B-1022 ;Airbus A330-343; C24Y279 ; 23 Dec 2017 ;; 4.4 Years ;;
; B-1048 ;Airbus A330-343; C24Y279 ; 26 Jul 2018 ; Parked, lsd ; 4 Years ;;
; B-1096 ;Airbus A330-343; C24Y279 ; 11 Dec 2018 ; Parked, lsd ; 3.8 Years ;;
; B-1097 ;Airbus A330-343; C24Y279 ; 21 Dec 2018 ; Parked, lsd ; 4 Years ;;
; B-1098 ;Airbus A330-343; C24Y279 ; 21 Dec 2018 ; Parked, lsd ; 3.7 Years ;;
; B-303C ;Airbus A330-343; C24Y279 ; 20 Dec 2018 ; Parked, lsd ; 3.5 Years ;;
; B-303Z ;Airbus A330-343; C24Y279 ; 7 Dec 2018 ; Parked, lsd ; 3.5 Years ;;
; B-304K ;Airbus A330-343; C24Y279 ; 7 Dec 2018 ; Parked, lsd ; 3.4 Years ;;
; B-304L ;Airbus A330-343; Cargo (Covid-19) ; 31 Dec 2018 ; Parked, lsd ; 3.5 Years ;;
; B-5905 ;Airbus A330-343; C32Y260 ; 9 Jul 2012 ;lsd ; 9.7 Years ;;
; B-5935 ;Airbus A330-343; C32Y260 ; 6 Aug 2013 ;; 8.7 Years ;;
; B-5950 ;Airbus A330-343; C32Y260 ; 7 Jul 2014 ;; 7.8 Years ;;
; B-5971 ;Airbus A330-343; C32Y260 ; 10 Mar 2018 ;lsd ; 7 Years ;;
; B-5972 ;Airbus A330-343; C32Y260 ; 28 Aug 2015 ;; 6.9 Years ;;
; B-6520 ;Airbus A330-343; C32Y260 ; 6 Dec 2010 ;lsd ; 11.3 Years ;;
; B-6527 ;Airbus A330-343; C32Y260 ; 24 Jan 2011 ;lsd ; 11.3 Years ;;
; B-6529 ;Airbus A330-343; C32Y260 ; 25 Jan 2011 ; Parked PEK, lsd ; 11.2 Years ;;
; B-6539 ;Airbus A330-343; C32Y260 ; 19 Dec 2011 ; Parked, lsd ; 10.5 Years ;;
; B-8015 ;Airbus A330-343; C32Y260 ; 31 Aug 2015 ;; 6.6 Years ;;
; B-8117 ;Airbus A330-343; C32Y260 ; 27 Nov 2015 ;lsd ; 6.4 Years ;;
; B-8118 ;Airbus A330-343; C32Y260 ; 29 Dec 2015 ;lsd, "China Britain Film Festival (中英电影节)" sticker ; 6.4 Years ;;
; B-8287 ;Airbus A330-343; C32Y260 ; 29 Jan 2016 ; Parked, lsd, "Hai!MANchester" titles ; 6.1 Years ;;
; B-1069 ;Airbus A350-941; C33Y301 ; 28 Sep 2018 ; Parked PEK, lsd ; 3.5 Years ;;
; B-1070 ;Airbus A350-941; C33Y301 ; 16 Oct 2018 ; Parked PEK, lsd ; 3.4 Years ;;
; B-30EG ;Airbus A350-941; C33Y301 ; Due ; Stored, lsd ; 3.4 Years ;;
; B-1100 ;Boeing 737-8 MAX; C8Y168 ; 27 Jul 2018 ; Parked DNH, lsd ; 3.6 Years ;;
; B-1142 ;Boeing 737-8 MAX; C8Y168 ; 24 Nov 2018 ; Parked LFQ, lsd ; 3.3 Years ;;
; B-1387 ;Boeing 737-8 MAX; C8Y168 ; 28 Apr 2018 ; Parked LFQ ; 3.9 Years ;;
; B-1388 ;Boeing 737-8 MAX; C8Y168 ; 30 Mar 2018 ; Parked TYN ; 4.1 Years ;;
; B-1389 ;Boeing 737-8 MAX; C8Y168 ; 8 Dec 2017 ; Parked LLV ; 4.3 Years ;;
; B-1390 ;Boeing 737-8 MAX; C8Y168 ; 17 Nov 2017 ; Parked DSN ; 4.3 Years ;;
; B-206Q ;Boeing 737-8 MAX; C8Y168 ; 23 Oct 2018 ; Parked DSN, lsd ; 3.4 Years ;;
; B-207H ;Boeing 737-8 MAX; C8Y168 ; 30 Nov 2018 ; Parked LLV, lsd ; 3.3 Years ;;
; B-207K ;Boeing 737-8 MAX; C8Y168 ; 16 Nov 2018 ; Parked DNH, lsd ; 3.3 Years ;;
; B-207S ;Boeing 737-8 MAX; C8Y168 ; 29 Dec 2018 ; Parked DNH, lsd ; 3.2 Years ;;
; B-207T ;Boeing 737-8 MAX; C8Y168 ; 21 Dec 2018 ; Parked ; 3.2 Years ;;
; B-209L ;Boeing 737-8 MAX; C8Y168 ; On Order ;; 2.9 Years ;;
; B- ;Boeing 737-8 MAX;; On Order ;; 2.5 Years ;;
; B- ;Boeing 737-8 MAX; C8Y168 ; On Order ;lsd ; 2.3 Years ;;
