;Reg;Aircraft Type; Config ;Delivered; Remark ;Age;;
; VP-BHJ ;Airbus A319-114; Y144 ; 11 Jul 2007 ; Parked ; 17.2 Years ;;
; VP-BHL ;Airbus A319-114; Y144 ; 1 Aug 2007 ; Parked ; 16.9 Years ;;
; VP-BHV ;Airbus A319-114; Y144 ; 17 Jul 2007 ; Parked ; 16.8 Years ;;
; VP-BCP ;Airbus A320-214; Y174 ; 14 Apr 2008 ;lsd ; 13.9 Years ;;
; VP-BCS ;Airbus A320-214; Y174 ; 20 May 2008 ;lsd ; 13.8 Years ;;
; VP-BCZ ;Airbus A320-214; Y174 ; 28 Mar 2008 ;lsd ; 14 Years ;;
; VP-BDT ;Airbus A320-214; Y174 ; 22 May 2008 ;lsd ; 13.8 Years ;;
; VP-BOG ;Airbus A320-214(WL); Y174 ; 4 Apr 2013 ;lsd, Street Art Museum cs ; 9 Years ;;
; VP-BOJ ;Airbus A320-214(WL); Y174 ; 29 May 2013 ;lsd ; 8.8 Years ;;
; VP-BOL ;Airbus A320-214(WL); Y174 ; 9 Apr 2014 ;lsd ; 7.9 Years ;;
; VP-BOM ;Airbus A320-214(WL); Y174 ; 2 Jul 2014 ;lsd ; 7.7 Years ;;
; VQ-BES ;Airbus A320-214; Y174 ; 18 Dec 2009 ;lsd ; 12.5 Years ;;
; VQ-BET ;Airbus A320-214; Y174 ; 18 Dec 2009 ;lsd ; 12.2 Years ;;
; VQ-BOA ;Airbus A320-214; Y174 ; 7 Feb 2012 ;lsd ; 10.1 Years ;;
; VQ-BPL ;Airbus A320-214; Y174 ; 24 Feb 2012 ;lsd ; 10.1 Years ;;
; VQ-BPN ;Airbus A320-214; Y174 ; 31 May 2012 ;lsd, Siberian Airlines cs ; 9.8 Years ;;
; VQ-BRC ;Airbus A320-214; Y174 ; 24 Apr 2012 ; Parked, lsd ; 9.9 Years ;;
; VQ-BRD ;Airbus A320-214; Y174 ; 16 Mar 2012 ;lsd ; 10 Years ;;
; VQ-BRG ;Airbus A320-214; Y174 ; 14 May 2012 ;lsd ; 9.9 Years ;;
; VP-BSH ;Airbus A320-271N; C8Y156 ; 28 Jul 2021 ;lsd ; 0.6 Years ;;
; VP-BSL ;Airbus A320-271N; C8Y156 ; 23 Apr 2021 ;lsd ; 1.4 Years ;;
; VP-BSR ;Airbus A320-271N; C8Y156 ; 29 Apr 2021 ;lsd ; 1.4 Years ;;
; VP-BTB ;Airbus A320-271N; C8Y156 ; 14 Feb 2020 ;lsd ; 2.1 Years ;;
; VP-BTX ;Airbus A320-271N; C8Y156 ; 20 Dec 2019 ;lsd ; 2.2 Years ;;
; VP-BTY ;Airbus A320-271N; C8Y156 ; 20 Feb 2020 ;lsd ; 2.1 Years ;;
; VP-BVH ;Airbus A320-271N; C8Y156 ; 27 Jan 2020 ;lsd ; 2.1 Years ;;
; VP-BVI ;Airbus A320-271N; C8Y156 ; 3 Aug 2020 ;lsd ; 1.8 Years ;;
; VP-BVJ ;Airbus A320-271N; C8Y156 ; 31 Jan 2020 ;lsd ; 2.1 Years ;;
; VP-BWB ;Airbus A320-271N; C8Y156 ; 27 Feb 2019 ;lsd ; 3 Years ;;
; VP-BWC ;Airbus A320-271N; C8Y156 ; 4 Jun 2019 ;lsd ; 2.8 Years ;;
; VP-BWM ;Airbus A320-271N; C8Y156 ; 24 Apr 2019 ;lsd ; 2.9 Years ;;
; VP-BWN ;Airbus A320-271N; C8Y156 ; 14 Jun 2019 ;lsd ; 2.7 Years ;;
; VP-BWT ;Airbus A320-271N; C8Y156 ; 28 Jun 2019 ;lsd ; 2.7 Years ;;
; VQ-BCF ;Airbus A320-271N; C8Y156 ; 20 Jul 2017 ;lsd ; 4.6 Years ;;
; VQ-BCH ;Airbus A320-271N; C8Y156 ; 18 Sep 2017 ;lsd ; 4.5 Years ;;
; VQ-BCK ;Airbus A320-271N; C8Y156 ; 31 Oct 2017 ; Parked, lsd ; 4.4 Years ;;
; VQ-BCR ;Airbus A320-271N; C8Y156 ; 11 Oct 2017 ;lsd ; 4.4 Years ;;
; VQ-BDQ ;Airbus A320-271N; C8Y156 ; 16 May 2018 ; Parked, lsd ; 3.9 Years ;;
; VQ-BDX ;Airbus A320-271N; C8Y156 ; 14 Dec 2021 ;lsd ; 0.3 Years ;;
; VQ-BGT ;Airbus A320-271N; C8Y156 ; 10 Dec 2018 ;lsd ; 3.2 Years ;;
; VQ-BHS ;Airbus A320-271N; C8Y156 ; On Order ;;;;
; VQ-BRA ;Airbus A320-271N; C8Y156 ; 6 Jun 2018 ;lsd ; 3.7 Years ;;
; VQ-BRB ;Airbus A320-271N; C8Y156 ; 20 Sep 2018 ;lsd ; 3.5 Years ;;
; VQ-BRI ;Airbus A320-271N; C8Y156 ; 18 Oct 2018 ;lsd ; 3.4 Years ;;
; VQ-BSC ;Airbus A320-271N; C8Y156 ; 17 Mar 2020 ;lsd ; 2 Years ;;
; VQ-BSD ;Airbus A320-271N; C8Y156 ; 24 Jul 2020 ;lsd ; 1.9 Years ;;
; VQ-BSF ;Airbus A320-271N; C8Y156 ; 28 Apr 2021 ;lsd ; 1.5 Years ;;
; VQ-BTL ;Airbus A320-271N; C8Y156 ; 30 Sep 2019 ;lsd ; 2.4 Years ;;
; VQ-BTO ;Airbus A320-271N; C8Y156 ; 28 Aug 2019 ;lsd ; 2.6 Years ;;
; VQ-BWO ;Airbus A320-271N; C8Y156 ; 21 Dec 2021 ;lsd ; 0.2 Years ;;
